stage,eye,glial,ionocyte,mesenchyme,neural,notochord,somites,spinal.cord,xanthophores
  7-9,3.28,0,0,0,30.86,0,0,0,0
 10-12,0,0,0,0,19.98,9,0,0,0
 14-21,0,1.73,0,0,0,0,3.93,66.06,0
 24-34,0,0,0,0.84,1.77,0,3.4,33.6,0
 36-46,0,0,0,0,0.68,0,0,1.78,0
 48-58,0,0,0.38,1.79,0.74,0,0,8,0
 60-70,0,1.26,0,0.6,0,0,0,4.98,0
 72-82,0,0,0,0,3.03,0,0,5.02,3.11
 84-94,0,0,0,1.03,3.5,0,0,2.93,0
 96-106,0,2.01,0,0,0,0,0,1.81,0
108-118,0,0,0,0.58,4.94,0,0,1.51,0
120,6.79,0,0,0,0,0,0,7.78,0
