stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.42,0,14.64,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.12,0,0,0.83,0,5.36,8,0,0,0,2.15,0.84,5.31,0.9
 24-34,0,0,0,0,0,0,0,0,0,2.94,0,0.8,10.45,0,0,0.99,0,0,0.75,1.13
 36-46,0,0.81,0,0.69,0,0,0,0.94,0,5.56,0,0.93,11.41,0,0,0,0,0,1.35,0
 48-58,0,0,0,1.93,0,0.66,0,0,0,0.77,0,0,9.86,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,3.86,0,0,2.75,0,0,0,0,0,0,1.75
 72-82,0,0,0,0.53,0,0,0,0,0,1.26,0,0,3.11,0.7,0,0,0,0,1.41,0
 84-94,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,7.33,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.5,0,3.7,0.46,0,0,0,0.97,0.9,1.46,0,3.88,0,0,0,0,0,0,1.14
120,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0
