stage,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,pronephros,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,2.42,0,0,0,0,1.1
 24-34,0,0,0,0,0,0,2.04,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.99,0,0,0,0,0
 48-58,0,1.27,0,0,1.06,0,3.77,0,0.65,0,1.04,0
 60-70,0,0,2.05,0,0,0,2.47,0,0,0,0,0
 72-82,1.65,0.56,0,0.7,1.08,0,3.64,0,0,0,0,0
 96-106,0,0,0,0,1.37,0.67,1.16,0.71,0.6,0.82,0,0
108-118,0,0,0,0,0.56,0,1.9,0,0,0,0,0
