stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.27,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,16.64,0,11.22,0,3.11,0,0
 14-21,0,0,2.12,1.91,0,0,0,0,0,0,0.98,0,0.91,1.82,0,0.88,0,0,67.05,8.38,8.86,0,0
 24-34,0,1.28,1.43,0,0,0,1.54,0,0,0,25.07,0,0,11.04,0.7,0,0,0,44.47,1.7,0.88,1.28,1.44
 36-46,0,0,8.69,0,0.68,3.81,0.61,0,2.59,0,62.77,0,0,3.74,0,0,0,1.07,41.74,0,0,0,0
 48-58,0,0,0,0,0,0,0.42,0,0,6.73,100.84,4.5,1.01,23.2,0,0,0,0,64.31,0,0,0,0
 60-70,0,0,0,0,0,1.47,0,0,0,0,22.28,0,0,11.32,0,0,0,0,29.62,0,0,0,0
 72-82,0,0,0,0,7.65,0,0,0,0,0,1.22,0,0,1.41,0,0,0,0,6.97,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,7.73,0,0,3.42,0,0,0,0,1.78,0,0,0,0
120,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,4.48,0,1.9,0,1.32,0,0,0
