stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,22.52,0,0,0,0,0,0,0,0
  7-9,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,22.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.96,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,16.16,0,0,0,0,0,0,0,10.25,0,0,0,0
 24-34,0,4.13,1.28,0,0,16.22,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,505.86,0,135.78,0,0,0,0,0,0,0,32.53,0,0,0,0
 36-46,0,7.5,2.45,0,0,43.4,1.39,0.96,3.91,0,2.15,0,0,0,0,0,0,1.23,0,0,0,1344.13,0,240.84,0,0,0,0,0,0,0,69.23,0,0,0,0.67
 48-58,0,3.08,0.38,0,0,101.18,0,0,2.55,0,0,0,0.55,0,0,0,2.47,5.42,0,0,0.88,1896.52,0,132.53,1.14,0,0,0.64,0,0,0,110.87,0,2.18,0,5.08
 60-70,0,4.04,6.85,0,0,220.85,0,0,68.93,2.17,0,1.9,0,0,0,0,10.18,7.66,0,0,7.82,2385.46,0,166.58,5.54,0,0,0.7,0,0,0,244.18,3.24,0,0,0
 72-82,0,19.62,29.92,0,0,327.25,0,1.18,61.64,18.78,0,2.95,0,0,0.71,0,0,25.23,0.88,0,0,2889.7,0,224.3,11.4,0,0,4.15,1.65,0,0,317.69,10.2,0,0,1.51
 84-94,0,26.39,23.73,2.86,0,293.42,0,3.94,37.41,29.43,0,3.92,0,1.34,0,0,0,17.81,0,0,0.57,1951.77,0,216.64,27.93,0,0,0,0,0,0,134.49,21.92,0.89,10.39,2.44
 96-106,0,25.85,21,4.79,0,223.28,9.05,0,46.24,40.4,0,3.59,0,0,0.86,0,2.25,42.62,0,0,4.58,2002.8,0.97,397.94,12.86,0,1.82,2.6,0,0,0,97.43,26.85,4.13,2.56,7.77
108-118,0,14.88,16.87,3.09,2.51,149.04,0,0,82.92,13.54,0,0.93,0,0,0,0.51,0,27.9,0,0,0.86,2107.22,0,253.54,19.56,0,0,6.34,0,2.63,0.46,79.92,22.99,4.96,0,0
120,0,19.7,36.31,1.38,27.33,333.95,0,0,169.62,36.78,0,7.23,7.56,0,6.82,0,0,140.74,0,4.71,1.82,5201.65,4,353.32,52.23,0,0,1.55,0,0,0,245.85,13.61,4.18,0,0
