stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.74,12.03,2.02,1.71,0,0,0,0,0,0,0.86,0,0,7.18,0,0,51.44,9.47,0,1.94,0,2.6,3.77,9.53,5.7,16.13,5.91,0,0,0,0
 24-34,0,0,0,2.29,0,2.95,0,0,2.31,0,0,0,0,0,6,41.37,0,0.81,51,38.09,5.13,2.37,0,2.69,2.49,0.78,0,2.33,24.14,0,1.93,0,0
 36-46,0,0,0,0,0,1.34,2.62,0,0.69,0,0,0,0,0,0,18.2,0,0,18.19,16.81,15.43,0.61,0,0,1.82,0,0,0,11.66,0,0,0,2.25
 48-58,0,0,0,0.63,0,0.37,0,0,0.69,0,0,6.61,0,0,1.8,13.31,5.47,0.93,21,32.23,11.13,0.45,0,2.43,0,0,0,0,4.47,0,0,0,0
 60-70,0,0,0,1.32,0,5.71,0,0,3.7,0,0,0,0,0,4,33.58,0,0,17.15,34.74,10.72,4.61,0,0,0,0,0,0,2.81,0,0,0.81,0
 72-82,0,0,0,3.1,0,3.36,1.5,0.64,11.21,0.67,0,1.21,0,0,1.5,23.7,0,0,8.63,25.02,28.76,10.32,0,0.65,0,0,0,0,2.89,0,1.13,1.27,0
 84-94,0,1.2,0,6.26,0,2,0.57,0,4.52,1.52,0,2.57,0.66,0,2.95,18.55,0,0,23.54,20.49,26.86,1.84,0,0.56,0,0,0,0,3.49,0,0,0,0
 96-106,0,0,0,1.53,0,2.58,0,0,3.02,1.44,0.97,0.91,0,0,2.46,11.28,0,0,4.89,13.2,21.68,3.21,0,0.81,0,0,0,0,2,0,0,0,0
108-118,0,0,0,3,0,1.22,0.48,0,9.7,1.72,0,4.89,0,2.64,3.54,15.54,0,1.04,19.35,17.14,28.56,0.47,0,0.92,0,0,0,0,0.95,0.53,0.9,0,1.25
120,0,0,0,7.57,0,2.38,2.04,0,0,0,0,8.75,0,31.67,0,41.09,0,0,23.52,17.71,49,0,0,0,0,0,0,0,0,0,2.99,0,0
