stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,11.89,43.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,10.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0.87,0,0,0,0,1.92,0,1.42,0,0,1.55,0,0,0,0,0
 24-34,0,0,0.67,0.6,0,2.22,0,0,0,0,0,0,0,0,40.87,2.68,0,0,23.52,0.75,0
 36-46,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,89.95,7.29,0,0,19.68,0,0
 48-58,0,0,0.59,0,0,1.38,0,2.91,0,3.47,0,0,0,0.62,110.46,0.93,0,7.66,20.32,0.51,0.63
 60-70,0,0,0,0,0,21.39,0,0,0,0,0,0,0,0,140.16,0,0,1.25,23.03,0,0
 72-82,0,0,1.03,0,0,24.95,0,0.55,1.63,0.52,0,0,5.64,0,214.68,2.74,0,0,14.23,0,0
 84-94,0,0,3.24,0,1.35,25.11,0,2.04,0,0,0,1.88,0.56,2.34,174.39,5.22,0,0,4.15,0,0
 96-106,0,0,5.6,0.85,0,5.74,0,6.12,0.89,0,0,0,2.07,0,128.99,7.63,0,5.03,0,0,0
108-118,0,0,0.94,0,0,15.69,0,0,5.42,0,0,0,4.84,0,189.79,5.05,0,0,15.96,0,0
120,0,0,5.13,2.9,0,15.5,9.33,7.55,1.09,0,0,0,0,0,418.56,0,0,0,26.47,0,0
