stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,7.77,0,0,0,0,0,0
 14-21,0,6.89,0,1,0,0,0,0,5.48,0,0,3.98,0,1.29,4.99,3.3,0,0,0,0,1.03,77.16,18.79,0,0,0,0,0,0
 24-34,0.83,0.61,0,2.67,10.49,0,0,0,8.2,0,0,5.5,0,17.22,20.24,0,0,0,0,8.61,0,20.56,61.29,4.68,0,0,0,0,0
 36-46,0,1.49,0,7.57,40.08,0.6,0,2.36,0,0,0,1.78,0.86,8.14,17.37,0,0,0,0,0.64,0,16.6,4.21,1.86,0,0,0,0,0
 48-58,0,0,0,9.18,25.53,0,2.42,0,0,0,0,8.12,1.23,2.99,26.82,0,0,3.13,0,0,0,2.86,0,7.32,0,0,0,0,0
 60-70,0,0.82,0,1.17,19.45,0,0,0,0.61,0,0,2.33,0,6.14,23.76,0,1.16,0,0.81,1.31,0,10.91,0,2.12,0,0,0,0,0
 72-82,0,0,0,8.71,24.33,0,1.89,0,0.81,0,0,3.4,0,0.56,31.6,0,0,0,1.13,0.66,0,5.3,0,0,0,0,0,0,0
 84-94,0,0,3.33,4.96,27.63,0,0,0.68,0,0.71,0,7.47,0,10.95,6.73,0,0,0,0,0.92,0,6.44,0,0,0,0,0,0,0
 96-106,0,0,7.15,33.04,42.04,0,2.08,0,6.22,0.93,0,4.37,0,7.24,25,0,0,0,0,7.28,0,9.19,0,0,1.68,0.78,0,0,0
108-118,0,0,0,24.38,60.14,0,0,0,3.12,0,2.01,5.95,0,10.05,39.48,0,0,0.54,0,1.02,0,10.98,0,5.6,0,0,2.19,0.58,5.99
120,0,0,0,1.79,35.26,0,4.28,0,3,0,0,30.74,0,3.86,55.17,0,0,0,0,0,0,1.6,0,9.5,0,0,0,0,0
