stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,106.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.26,0,0,0,0,0,0,0,0
  5-6,0,116.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.29,0,0,0,0,0,0,0,0
  7-9,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.33,0,0,25.17,0,19.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.19,0,0,3.77,0,14.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.5,134.64,0,0,0,0,0,5.66,0,1.13,0,0,0,0,5.93,0.83,0,0,4.05,1.08,1.99,1.56,0,55.7,0,0,0.91,0,0,0,0,0
 24-34,0,0,0,3.94,45.29,0,0,2.81,0.74,0,0.67,0,0,0,0.64,1.34,0,3.35,0.84,0,2.93,35.47,2.05,1.53,0,0,92.21,1.04,2.01,0.73,0,0,0.82,0,0
 36-46,0,0,0,0,61.19,0,4.28,4.59,3.72,0,6.5,0,0,0,0.65,0,0,0,0,0,2.25,11.88,0.81,2.81,0,0,145.59,2.78,0,3.06,0,0,0,0,0
 48-58,0,0,0,0,26.63,0,3.22,18.21,12.29,0,3.86,0,0,0,0.46,0,6.68,1.38,3.76,0,2.7,8.75,0.7,0.48,0,0,42.26,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,37.22,0,6.41,5.99,8.8,0,4.95,0.64,0,0,0,0,0,0.74,0,0.93,0.8,3.62,3.94,0,0,0,47.8,0.59,0,0,0,1.21,0,0,0
 72-82,0,0,1.51,0,14.52,0,4.22,2.42,15.82,0.63,5.46,0,0,0,0,0,0,2.39,0.61,1.13,0.78,6.71,0,0,0,0,28.69,0,0,0,0,3.02,0,1.31,0
 84-94,1.23,0,0,0,63.79,0,1.42,5.76,10.52,1.04,17.23,0,0,0.62,0.69,0,0,6.78,0,3.31,0,0,1.47,1.34,0,2.65,46.61,0.63,0,0,1.36,6.36,0.78,6.03,0
 96-106,0,0,0,0,50.28,0.98,9.96,2.6,12.36,2.93,16.94,0,0,0,1.48,3.47,0,12.15,0,2.92,0,13.88,7.86,0,0,1.16,47.99,0.78,0,0,0,4.02,1.51,7.14,3.29
108-118,0,0,0,0.74,45.37,0,3.2,14.78,12.77,3.63,20.09,0.56,0.69,0,0,4.32,0,4.17,0.94,0,1.98,10.47,2.02,0,0,1,43.48,0.43,0,1.12,0.8,1.99,0,5.28,0
120,0,0,0,4.41,77.68,0,0,2.19,5.84,0,17.34,0,1.05,0,1.69,5.67,0,0,0,5.15,3.19,17.78,0,0,0,0,16.23,1.22,0,0,1.06,0,0,0,0
