stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0,7.07,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.08,0,0,0,5.31,0,0,35.25,0,0,0,0,0,0
 14-21,0,0,16.92,1.3,5.18,6.32,0,1.48,0,0,1.01,0,0,12.62,0,0,3.28,0,26.05,0,4.93,60.33,0,0,0,0.92,0,0,11.59,1.32,14.86,0,0,0,0
 24-34,0,0,43.48,0,2.14,1.27,0,2.43,0.64,2.38,1.08,0,0,87.26,1.71,0,14.67,3.31,7.1,0,0.63,139.72,0,3.79,0,0,0,0,45.45,0.63,22.77,0,0,16.97,0
 36-46,0,0,25.35,0,4.76,17.02,0,1.77,1.69,16.12,0,0,0,202.64,0,0,21.75,6.12,6.16,0,0,150.68,0,0.62,0,0,0,0,50.62,0,29.18,0,0.85,15.1,0
 48-58,0,0,2.93,0,0.5,0,0,4.01,1,19.1,0,11.47,0.66,243.31,5.83,0.4,5.56,1.11,5.83,0,0,79.44,0,0.43,0,0,0,0,17.94,0,13.18,0,0,29.11,0
 60-70,0,0,6.94,0,3.3,0,0,4.65,0.98,26.96,1.54,5.84,0,473.51,4.08,0,5.1,0,30.2,0,0.67,32.75,0,0,1.24,0,0,0,42.48,0,7.22,0,0,20.88,0
 72-82,0,0,13.44,0,1.43,2.14,0,15.88,9.4,9.62,28.12,0.51,0,338.01,4.13,0,18.81,0,25.16,0,0.5,45.8,0,0,0,0,0,0,113.64,0,2.22,0,0,43.49,0
 84-94,0,0,13.02,1,1.52,10.39,0,25.61,7.51,10.36,61.89,3.18,0,483.82,7.51,0,0,0.86,59.19,0,0.84,13.79,0,0.63,4.26,0,0,7.09,226.84,0,0,0.72,0,33.55,0
 96-106,0,0,16.87,0,2.59,17.82,0,30.9,0.84,6.33,201.55,0,0,434.65,18.05,0,0,0,44.5,0,2.05,76.63,0,0,0,0,0,12.76,224.45,0,7.87,0.56,0,53.02,0
108-118,0,0,38.35,0,6.24,6.75,0,13.83,1.04,12.39,274.13,0,0,375.14,26.26,0,1.91,0,59.28,1.21,0,42.86,1.11,0,0,0,4.1,0.46,274.99,0,6.47,1.13,0,31.39,0.49
120,0,0,15.24,0,3.36,0,15.5,3.78,0,1.34,169.79,0,0,592,4.89,0,4.14,0,81.87,0,0,26.54,0,3.86,0,0,0,2.57,181.86,0,10.83,0,0,24.07,0
