stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.05,0,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,0,0,0,31.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.19,4.33,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.91,0,0,0,12,0,0,0,0,0,11.77,0,0,0,0,0,0
 14-21,0,0,15.94,0,1.09,0,0,0,3.19,0,0,0,0,0,0,0,0,0,8.9,0,0,0.88,45.21,0,0,0,2.69,0,6.25,1.18,0,0,1.73,11.7,0,0,0.9,0,0
 24-34,0,0.61,5.52,0.69,8.44,0,0.85,1.23,3.92,0,0,1.94,0,0,0,0,0.95,0,5.9,0,0,5.2,116.21,0.95,2.47,0.99,1,0,6.26,0,0,0,0.64,43.7,0,0,5.81,0,0
 36-46,0,0,3.56,0,23.03,0,0,0,5.97,0,0,0,0,1.01,0,0,0,0.86,8.82,0,0,2.01,164.15,0,0.92,0,0,0,21.22,0,0,0,0,56.41,0,0,1.23,0,0
 48-58,0,0,2.9,0.41,54.12,0,4.43,0.6,16.65,0,0,0,1.35,0,0,0,0,0,12.22,0,0,0.97,198.82,0.39,0,0.74,0,0.4,5.63,0,0,0,0,49.59,0,0,4.32,0,0
 60-70,0,0,5.18,0,92.21,0,0,0,22.5,0,0,0,0,0,0,0,0,0,16.2,0,0.68,0,203.83,0,1.15,0,0,0,9.82,0,0.73,3.95,0,15.14,0,0,0.89,0,0
 72-82,0,0,3.36,28.22,87.25,0,0,1.74,11.48,0,0,0,0,0,0,0.67,6.21,0,18.42,0,0,0.56,150.56,0.51,0,2.35,0,0.87,1.73,0,0,0,0,11.61,1.69,6.01,9.62,0,0
 84-94,0,0,0.58,39.62,45.34,0,1.49,0,1.21,0,0.64,0,1.64,0,0,0,0,0,18.28,0,0,1.68,125.07,0,5.84,2.77,0,0,16.79,0,0.8,0,0,11.45,0.66,0,1.56,0,0
 96-106,0,0,2.08,29.58,36.03,2.05,3.31,0,7.98,0,0,0,1.4,0.58,0,0,1.06,0,22.28,0,0,5.05,76.6,0,3.63,1.13,0,0,5.82,0,0,0,0,5.58,0,0.78,0,2.57,3.14
108-118,0,0,13.92,26.26,40.91,0,1.51,2.05,9.44,1.88,0,0,1.17,0.94,3.16,2.13,0,2.7,18.35,0,0,1.97,145.75,0,0,2.23,0,0,8.22,0,0,3.63,0,0,0,0.69,3.61,0,0
120,0,0,1.69,18.35,18.45,0,1.72,2.28,35.1,1.52,0,0,0,0,11.04,0,1.43,0,42.07,3.54,6.16,7.14,187.69,0,0,1.28,0,0,8.22,0,1.14,2.33,0,7.84,0,0,12.8,0,4.77
