stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,spinal.cord
 10-12,0,0,0,0,0,0,0,3.6,0
 14-21,0,0,0,0,0,0,0,1.79,1.28
 24-34,0.94,0,4.21,0,0,0.6,0,3.5,0
 36-46,0,0,0,0,0,0,0,1.93,0
 48-58,0,0,6.15,0,0,0,0,15.59,1.03
 60-70,0,0,0.97,0.95,0,1.37,0,2.3,2.91
 72-82,0,0,0.54,0,0,1.42,0,13.24,0
 84-94,0,0,0,0,0,1.18,0,5.49,0
 96-106,0,1.78,6.93,0,1.04,0,0.73,0,0
108-118,0,0,0,0,0,1.12,0,10.39,0
