stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,4.73,0,6.85,0,0,0,0,0,0,0,0,0
 10-12,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,13.09,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.88,0,0,0,0,1.6,0,0,3.5,0,0,0.84,7.2,15.4,0,0,0,0,0,1.07,4.84,0,0.95,0
 24-34,0,0,1.43,0,0,0,0,0,0,0,0.63,0,0,0,5.87,12.99,0,0,0,0,0,0,4.6,0,1.02,0
 36-46,0,0,0.7,0,1.69,0,0,1.68,0,0,0.66,0,0,0.66,5.34,7.29,0,0,0,0,0,0,10.18,0,0,0
 48-58,0,0,0,0,3.58,0,0,9.14,0,0.68,7.3,0,0,0,18.34,3.91,0,0,0,0,0,0,1.35,0,0,0
 60-70,0,0,3.87,0,4.62,0,0,18.62,0,0,11.75,0,0,0,8.25,16.44,0,0.71,0,0,0,0,0,0,0,0
 72-82,0,0,13.63,0,0.6,0,0,68.63,0.65,0,6.62,0,0,0,2.49,34.18,0,0,0,1.65,0,0,0,0.63,0,7.95
 84-94,0,0,14.96,1.08,5.48,1.58,0,60.14,0,0,8.15,0,0.68,0,1.14,30.04,0,1.53,0,0,0,0,6.83,0.64,0,1.49
 96-106,0,0,15.11,0,1.36,0.78,1.21,147.84,1.56,0.72,7.28,2.12,0,0,8.97,20.07,0,4.63,3.19,0,0.59,0,0,4.05,0,4.41
108-118,0,0,1.51,0,0.88,1.21,0,189.96,0.51,0.87,7.13,0,0,0,5.14,52.87,0,0,0,0,0,0,0,0.43,0,1.49
120,0,0,28.19,0,2.61,0,0,157.76,0,0,4.75,0,4.76,0,4.47,17.16,0,0,0,0,0,0,0,0,0,0
