stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.3,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54,0,0,7.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,0,1.36,0,0.84,0,0,0,0.97,0,0,0,0,0,0,0,0,0,14.43,0,0,0,2.57,0.91,0,0,1.82,1.77,0,0
 24-34,0,0,0,0,2.08,0,0,0.66,0,0,0,0,0,0.8,0,0,0,0,1.16,0,0.63,25.92,0,1.95,0,3.37,0,0,0.94,6.22,0,0,0
 36-46,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0.77,0,3.14,0,0,31.35,0,0,0,0,0,0.63,0,4.62,0,0,1.47
 48-58,0,0,0,0,0.37,0,0,7.36,0.45,0,0,0,0,0.38,0,0,0.49,0,4.26,0,0.46,29.6,0,0,0,1.73,0,0,0,0.72,0,0,0
 60-70,0,0,0,0,0,0,0,36.16,0,1.56,1.03,0,0,6.83,0,0,0,0,7.72,0,0,34.72,0,0,0,0,0,0,0,4.59,0,0,2.08
 72-82,0,0,0,0,0.5,0,0,21.46,0,0,11.33,0,0,5.79,0,0,0,0.5,6.75,0,0.6,18.72,0,0,0,0.51,0,0,0,4.87,0.9,0,0
 84-94,0,0,0,0,0,1.04,0,15.78,0,0,0.74,0,0.78,0,0,0,0,0,5.69,0,0,23.21,0,0,0,5.59,0,0,0,1.74,1.78,0,0
 96-106,0,0,0.63,0,0,0,0,3.05,3.36,0,3.93,0.81,0,0,1.78,0,1.05,0,6.93,0,0,12.13,0,0,0,0,0,0,0,0,0.67,0.72,0
108-118,0,0,0,0,1.93,0,0.98,18.79,1.57,0.47,13.6,0,0,0,0,1.77,0.62,0,2.8,0.83,0,13.94,0.46,2.12,0,0.73,0,0,0,0,0,0,0
120,0,0,0,0,4.58,4.2,0,10.4,1.31,0,7.77,0,0,4.53,1.25,0,0,4.02,22.2,0,0,42.47,0,2.75,0,1,0,0,0,0,0,0,0
