stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,3.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,1.6,0,0,0,0,2.09,1.03,5.04,0,0,0,0
 24-34,0,1.31,0,1.83,0,0,0,0,0,0,0,3.79,0,0,0,21.26,0,0,2.4,65.69,0,0,0,0,0,0,7.84,0,0,0,0
 36-46,0,0,7.97,1.93,0.68,2.41,0,0,1.04,0,0,2.47,0,0,0,43.93,0,0,0,166.65,0,0,0,0,0,0,9.67,0,0,0,0
 48-58,0,0,2.64,2.52,7.13,0,1.52,1.3,0,0,0,0.45,0,0,0,91.61,0,0,6.5,168.4,0,0,0,0,0,0,12.9,0,0,0,0
 60-70,0,0,0,1.5,3.97,0,0,13.03,0,0,0,0,0,0,0,159.45,0,0,0.93,203.81,0.58,0,0.98,0,0,0,8.05,0,0,0,0
 72-82,0,2.79,1.73,12.6,10.72,0,0,7.08,1.84,0.66,0,0,0,0.67,0,207.38,0,0.57,1.3,323.47,0,0,0,0.78,0,0,16.68,7.65,0,0,0
 84-94,0,2.82,2.39,6.54,33.05,0,0,3.45,1.33,0,1.16,5.62,1,0,0.82,91.04,0,0,0,251.8,0,0,0,0,0,0,7.95,0,0,0,1.56
 96-106,0,5.31,0.61,14.22,12.26,0,0.56,2.58,2.38,0,0,0,0,0,0,100.34,0,0,0.87,135.13,0,0.98,0,4.37,0,0,9.15,0,4.43,1.73,0.8
108-118,0,9.32,3.67,5.51,20.62,0,0,0.77,2.99,0,0,0,0,0,2.09,111.75,8.15,0,0,217.1,0,0.41,0,0.44,0,0,8.59,4.44,0,1.12,0
120,0,9.86,1.72,1.38,46.13,0,0,3.75,1.93,0,2.37,8.51,0,0,14.99,72.23,0,0,0,471.38,0,0,0,5.64,0,0,8.24,0,4.29,0,0
