stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,25.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,9.44,0,7.64,0,0,9.68,0,0,0,0,0,0,0,0,0,0,28.08,0,0,0,21.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.46,0,0,0,25.02,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,1.41,0,3.32,3.18,0,0,0,1.82,0,0,0,0,5.73,0,2.06,16.27,0,0,0,0.95,2.1,5.18,0,1.17,8.5,20.55,0,0,0,0
 24-34,0,0,0,0,3.17,0,1.17,0,0,2.14,0.61,0,0,0,9.98,0,3.58,83.75,0,0,0,0,0,2.33,0,0,1.36,19.19,0,1.11,0,0
 36-46,0,0,0,0,0,0,29.6,0,0,3.56,0,0,0,0,5.31,0,1.97,169.25,0,0.87,0,0,0,0,0,0,0,24.59,0,0.76,0,0
 48-58,0,0,0,0,1.13,0,67.34,0.96,0,7.68,0,0,0.48,0,13.82,1.03,2.24,197.9,0,0,0,0,0,0,0,0,0,27.26,0,0.4,0,0
 60-70,0,0,0,0,0.6,0,136.7,0,0,12.92,0,0,0,1.49,17.17,0,0,205.86,6.63,3.03,0,0,0,0,3.99,0,0,21.81,0,1.86,2.15,0
 72-82,0,0,0.69,0,0.73,0,143.08,0,0.51,2.52,1.26,0,0,0,14.72,0.55,1.5,190.97,0,0,0.49,0,0,0,0,0,0,36.26,0,0.88,0,1.1
 84-94,0,0,2.14,0,1.34,0,31.2,0,0,1.7,0,0,1.79,0,12.95,0,2.23,71.98,0,6,0,0,0.93,0,1.26,0,0,10.58,0,0.61,0,0
 96-106,0,0,0,0,1.22,0,66.07,0,0,6.71,1.38,1.03,0,0,4.77,0,0,64.85,0,0,1.57,0,0,0,0,0,0,3.05,0,0.96,6.43,3.29
108-118,0,0,0,0,0,0,36.84,0,0,12.26,0,0,0,0,16.71,0,0.6,88.66,0,0,0,0,0.68,0,0,0,0,0,1.7,0.45,0,2.09
120,0,0,0,0,8.06,0,7.04,0,1.47,7.92,0,0,2.32,0,13.26,0,4.2,138.26,0,0,0,0,0,0,0,0,0,1.19,0,2,0,0
