stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,1.26,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45
 24-34,0,0.67,6.05,0,0,1.42,0,0,0,1.39,0,3.24,0,2.34,0,0,0,0,4.36,0,0,1.51,8.28,0,0,0,0,0,6.87,2.97,0,0,0,0,3.82
 36-46,0,0,4.8,0,0,0.67,0.62,0,0,0.98,0,3.44,0,0,0,0,1.46,3.15,11.38,0.72,0,1.58,6.89,0,0,0,0,0,20.6,2.46,0,0,0,0,30.26
 48-58,0,0,3.03,0,0,6.42,0,0,0,0,0,0,0,0,0.43,2.64,0,16.62,11.89,0,0,0.71,23.19,5.81,0,0,0,0,1.69,0,0,0.98,0,0,35.74
 60-70,0,0,21.06,0,0,6.51,5.63,0,0,2.76,0.77,1.17,0,0,1.52,0.79,0,27.71,32.6,1.41,1.58,0.99,11.58,0,0,0,0,0,4.36,0.66,0,1,0,0,84.86
 72-82,0,0,7.9,0.84,0,11.92,0.69,0.55,0,2.9,0,0,0,0.63,10.42,0.68,0,17.13,56.91,0,0.7,8.26,19.82,0,0,4.66,0,0.75,0.58,3.65,1.36,6.24,5.66,1.47,51.22
 84-94,0,0,20.1,0,0,14.75,2.67,1.72,3.25,2.04,0,0,0,0.55,15.37,0,0,75.1,29.67,0,3.19,0,16.04,0,0,3.48,0.82,0,0.55,0,0,1.76,5.01,0.89,56.88
 96-106,0,0,8.77,0,0,20.75,3.72,0,1.02,1.98,2.9,0.77,0,0,11.36,1.85,3.35,35.21,88.98,1.8,6.23,0,17.68,0.85,0.77,2.01,5.13,0,5.94,2.66,0,9.25,7.07,10.14,44.47
108-118,0,0,13.51,1.51,1.65,43.22,5.38,0.92,0,11.56,2.85,3.02,0.88,2.86,30.95,0,0,81.38,89.95,0,5.19,3.04,20.79,0,0,2.7,0.97,0,0.51,0,0,3.7,5.73,5.14,45.44
120,0,0,8.61,0,0,26.97,1.12,0,0,9.83,1.66,2.11,0,0,5.55,2.53,0,20.16,63.33,1.16,5.98,11.09,25.7,0,2.45,0,2.84,0,0,0,0,5.18,0,0,23.54
