stage,epidermis,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,notochord,periderm,spinal_cord
 14-21,0.83,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,11.74,0.59,0,3.43
 36-46,0,0,0.58,0,0,0,0.88,0.72,13.73,0,0,3.09
 48-58,0,0,0,0,0,0,0.7,0,3.93,0,0,0.88
 60-70,0,0,0,0.65,0,0,0.91,0,2.75,0,0,1.15
 72-82,0,0,1.07,0,0,0.57,0,0,1.68,0,0.55,0
 84-94,0,0,0,0,0,0,0,0,1.2,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.75,0,0,0
108-118,0,3.82,0,0,0,0,0,0,2.15,0,0,0
120,0,0,1.48,0,2.52,0,0,0,0,0,0,0
