stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.24,0,0,0,21.93,0,45.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.95,0,0,3.85,0,0,0,0,0,1.93,2.44,0,0,0,14.24,0,0,3.76,1.04,8.7,0.87,0,0,0,0,810.56,1.31,0,0.99,2.32,0,0,0,0,0
 24-34,0,0.76,4.73,5.78,0,5.68,0,7.21,0,1.64,0,0,0,0,0,0,0,0,2.65,6.83,0.78,60.96,0,0.69,0,0,0,948.12,0,0.65,0,7.73,0,0,0,0,0
 36-46,0,0,12.7,10.47,0,2.44,1.42,9.14,0,2.44,0,0,0,1.18,0,0,0,3.65,2.87,12.17,0.55,29.56,0,0,0,0,0,1409.1,0,0.81,0,14.2,0,0,1.99,0,9.55
 48-58,0,0,3.45,0,0,22.83,0,18.92,0,2.09,0.82,0,0,2.21,0,0.51,0,0,6.57,12.41,1.78,70.61,0,0,0.46,0,0,1402.8,0,0,0,20.58,0,0,2.73,0,2.87
 60-70,0,0,12.36,0,0,35.59,0,22.29,0,1.29,0,0,0,2.31,0.66,0,0,0,2.74,3.9,0,44.53,0,1.08,0,0,0,1022.18,0,0,0,4.83,0,0,1.59,0,0
 72-82,0,0,26.22,0,0,23,0,19.27,0.71,4.95,0,0,0,4.84,0,0,0,0,6.56,3.5,0,25.96,0,0,1.16,0,0,827.51,0,0,0,0,2.31,0,3.07,0,4.5
 84-94,0,0,86.07,0,0,25.88,0,42.55,0,0,1.43,0,1.58,16.8,0,0,0,0,6.74,19.45,0,7.96,0,2.73,0,0,0,2507.77,0,0,0,0,2.02,0,2.28,0,0
 96-106,0,0,162.49,9.32,1.23,29.98,0,67.64,1.11,11.92,7.37,0,1.06,15.73,0,0,1.41,0,8.73,19.54,4.97,54.74,0,0,0,0,5.22,2118.99,0,0.78,0,2.21,1.86,0,1.25,0,0
108-118,0.57,0,148.52,0,0,19.15,0,80.59,0,4.41,6.82,0,0.93,26.32,0,3.04,0,0,18.49,32.72,0.49,49.88,0,0.93,0,0,1.02,1741.26,0,0,0,0,5.51,1.52,3.44,1.26,0
120,0,0,100.87,5.94,0,0,0,47.4,0,0,2.67,5.2,0,16.08,0,0,0,0,5.84,9.48,0,30.55,0,0,0,0,0,695.88,0,0,0,2.14,1.27,0,0,0,0
