stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle
  3-4,76.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,83.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,5.39,0,13.88,0,0,0,0,0,0
 10-12,0,3.73,0,0,3.74,0,0,0,0,0,0,0,0,223.07,44.4,0,0,8.4,0,0,0,0,0,0,0,0
 14-21,0,0,1.86,0,6.95,0,31.83,0,0,0,0,1.89,0,336.91,41.47,3.46,6.8,1.69,0,0,2.32,2.83,0,135.97,0,0
 24-34,0,0,0,0.76,0.89,0,25.33,0.69,0,0.63,0,0.74,10.09,363.36,10.49,2.54,4.54,0,0,0,0,1.67,2,121.07,0,0
 36-46,0,0,7.48,0,1.66,4.14,40.09,0,1.51,0,0,1.21,0.75,302.83,0,6.09,0,0,4.39,0,0,0,0,88.47,0,0
 48-58,0,0,0,0,10.09,0,24.87,0,0,0,0,1.41,0,168.11,0,6.3,0.37,0,0,0,0,0.61,0,50.23,0,0
 60-70,0,0,0,0,4.26,0,28.91,0,0,0,0,4.08,0,180.51,0,5.93,1.46,0,0,0,0,0,0,34.29,0,0
 72-82,0,0,0,0,3.17,0,31.29,0,0,0,0,5.11,0,90.31,0,3.85,0,0,0,0,0,0,0,16.79,0,0
 84-94,0,0,0,0,10.23,0,30.02,0,0,0.6,0,4.7,0,58.52,0,9.94,6.27,0,0,0,0,2.05,0,14.08,0,0
 96-106,0,0,0,5.67,4.61,0,31.16,0,0,0,1,1.43,0,58.63,0,10.85,7.08,0,5.51,0,0,1.91,0,17.01,0,1.18
108-118,0,0,0.48,0,11.57,0,8.34,0,0,0,0,1.47,0,65.38,0,4.49,3.41,0,0,0,0,0.64,0,18.09,0.42,0
120,0,0,0,0,9.35,0,29.35,0,0,0,0,0,0,53.11,0,3.23,0,0,0,0,0,0,0,0,0,0
