stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,29.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,5.11,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0,7.84,0,0,0,0,0,0,0,0,0
 14-21,0,0.85,1.16,0,0,0,0,0,0,0,0,0,0,0,7.3,3.52,0,0,0,0,0.82,0,0.85,0,0,0,0
 24-34,0,0,0,1.08,0,0.74,0,0,0,0,0,0,0,0,0.99,6.6,0,0,0,0,0,0,0,1.83,0,0,0
 36-46,0,0,0,0.7,6.64,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0.58,0,0,0,0,0
 48-58,0,0,5.14,2.55,0,0,0,0,4.81,0,1.93,2.84,0,0,0.44,11.21,0,0,0,0,0,0,0,0.4,0,0,5.3
 60-70,0,0,0,2.71,0,0,1.25,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,1.57,0,0,0
 72-82,0,0,0,0.74,0,0,0,0,0,0,0,0,1.06,0.93,0,0,0,0,0,0,0,0,0,0,0.62,0,0
 84-94,0,0,0.56,6.36,0,0,0,0.6,0,0.63,0,0,1.28,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.34,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,1.61,0
108-118,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.49,0,2.9,0,0,0,0,0,0,0,0
120,0,0,0,0,4.94,2.45,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0
