stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0
 14-21,0.96,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,1.31,1.87,0,0
 24-34,0.75,0.69,0,0,0,0,0,0,0,1.98,0,0,0.72,24.95,0,1.34,0,3.81,0,0,9.49,0,0
 36-46,0,0,0,5.24,0,0,0.58,0,0.56,0,0,0,0,24.69,0,0,0,4.17,0,0,5.39,0,0
 48-58,0.37,0,0,8.09,0,0,4.29,0,0.47,2.09,2.73,0,0,46.08,0,1.04,0.42,0.79,0,0,3.05,0,5.83
 60-70,0,0,0,34.66,0,0,3.64,0,0,7.98,0,0.84,0,106.11,0,0,0,2.77,0,0,5.71,10.04,0
 72-82,0,0,0,17.71,0,2.27,3.29,0.65,1.39,2.3,0,0,1.33,115.51,0.5,1.01,0,0,0,0,9.78,0,0
 84-94,6.49,5.99,0,18.04,0.68,1.35,0.58,0,0,2.58,0,0,0,46.6,0,0,0,0,0,0,13.64,4.22,0
 96-106,0.66,0,0,0.62,0,0,1.32,0,0,0,0,0,0.79,32.89,0,0,0.56,6.12,0.93,0,0,0,0
108-118,8.58,0,1.68,5.43,0,0,0.47,0,0,1.97,0,1.52,0,56.7,0,0,0,2.43,0,0,0,0,0
120,1.27,0,0,5.33,0,0,1.96,7.18,0,10.2,0,0,0,58.77,0,0,0,6.69,0,0,0,0,0
