stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.46,460.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.82,0,0,0,0,0,0,0,0,0,0
  5-6,23.23,355.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,48.99,0,33.75,0,0,61.55,0,0,0,0,0,0,0,0,0,0,0,0,0,640.74,49.61,0,0,207.25,0,4.16,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,21.71,0,19.61,0,0,39.38,0,0,0,0,0,0,0,0,0,0,0,0,0,798.81,59.26,0,0,211.33,0,4.24,24.56,0,36.61,0,0,0,0,0,0,0
 14-21,0,0,0,1.49,11.53,9.2,16.63,0,0,4.93,1.65,1.15,0,0,0,0,6.06,0,0,2.96,151.31,2.61,0,2.15,2.27,0,6.49,0,5.64,0.82,2.16,5.79,60.35,0,1.1,0,0
 24-34,0,0,0,0,3.57,0,27.52,2.34,0,9.63,0.68,1.02,0,0.79,4,3.58,11.9,0,0,4.07,273.63,0,2.2,3.58,0,0,20.14,0,0,0,0,2.43,53.72,0,0,0,0
 36-46,0,0,0,0.63,3.44,0,56.78,0,0,15.3,0,1.08,1.19,0,4.03,0,13.99,5.89,0,6.47,297.28,0,1.55,4.36,0,0,12.81,0,0,0,0,0,67.18,0,2.59,0,0
 48-58,0,0,0,0,8.22,0,130.33,0,0.53,18.07,0,0.55,0.93,0.39,0,0,24.13,1.16,2.53,8.63,230.29,1.36,5.18,3.71,0,0,11.36,0,0,0,0,0,41.42,0,1.92,0,1.32
 60-70,0,0,0,0,6.25,0,191.79,0,0,20.79,0,0.93,10.72,5.75,1.94,0,19.75,0,2.77,9.53,231.92,0,3.56,1.97,0,0,24.37,0,0,0,0,0,24.84,0,2.47,0,0
 72-82,0,0,1.14,0,3.7,18.37,89.94,1.51,0,8.23,0,0,1.05,0.63,3.12,0,14.9,0.93,0,5.54,169,0,4.02,2.13,0,0.71,9.99,0,0,0,0,0,18.74,0.97,0.65,0.7,11.92
 84-94,0,0,6.75,0,12.64,10.24,106.38,0,0,10.88,8.18,0,7.58,3.54,0,0.59,33.51,0,1.1,0.79,208.81,0,1.76,1.15,0,0,23.15,0,0,0.56,0,0,1.92,0,5.58,0,0
 96-106,0,0,0,0,2.87,28.56,73.85,0,0,10.24,4.18,0,4.83,1.54,6.19,0.79,36.4,1.76,0,0,137.92,0,1.2,1.18,0,0,24.45,0,0,0,0,0,3.98,0,0,1.5,0
108-118,0,0,0,0,5.92,7.6,70.74,0,0,24.55,4.52,0,3.42,2.16,6.06,0,19.55,0,1.84,0.8,184.99,0.45,1.91,1.96,0,0,19.22,0,0,0,0,0,2.97,1.96,0,0,2.39
120,0,0,0,0,27.63,0,161.98,0,0,12.44,0,2.09,19.35,2.26,1.54,1.32,1.48,1.49,0,3.31,493.86,2.89,4.59,0,0,0,32.64,0,0,0,0,0,10.68,0,7.47,0,0
