stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,iridophores,mesenchyme,mucous,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0
 24-34,0.6,0,0,5.22,0,1.94,0,1.26,0,1.43,6.15,2.13,0.75,0.86,0,0
 36-46,0,0,1.33,56.93,0,0,0,1.72,0,2.38,9.21,0,13.23,0,6.66,0.82
 48-58,6.79,0,5.99,31.69,0.5,0,0,5.39,0,4.28,30.74,0,15.96,0,9.87,0
 60-70,0,2.2,15.15,40.27,0,0,0.9,2.08,0,2.53,9.81,0,10.99,0,10.2,0
 72-82,0,0,0,7.79,0,0,0,0,0,1.42,4.31,0,3.64,0,0,2.38
 84-94,0,7.16,0,0.69,0.69,0,0,0,0,1.89,0,0.74,0.76,0,0,0
 96-106,0,1.42,5.58,0,0,0,0,0.58,0,1.12,0,3.78,0.82,0,0,0
108-118,0,0,0,5.26,0,0,0,1.24,5.12,0.53,7,0.83,6.8,0,0,0
120,0,0,0,5.9,0,0,0,0,0,0,0,0,1.99,0,0,0
