stage,blastomeres,epidermis,eye,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,periderm,spinal.cord,xanthophores
  3-4,11.69,0,0,0,0,0,0,0,0,0,12.22,0,0
  5-6,6.91,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,21.03,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.37,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.44
 24-34,0,0.86,6.32,0,7.91,0,19.33,2.81,0,0,1.69,0.88,36.86
 36-46,0,0,0,0,5.58,0,11.05,0,0,0.69,0,0,4.99
 48-58,0,0,0,0,1.49,0,1.31,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.09,0,0,0,0
 72-82,0,0,0,0.64,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.57,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.81,0,1.1,0,0,0,0,0,0,0
108-118,0,0,0,2.08,0,0,0,0,0,0,0,0,0
