stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,lateral_line,mesenchyme,mucous,muscle,neural,notochord,spinal_cord
  7-9,0,0,0,0,0,0,7.6,0,0,0,0,3.85,0,0
 10-12,0,0,9.95,0,0,0,3.03,0,0,0,0,28.38,3.75,0
 14-21,0,0,0.97,0,2.3,0,3.13,0,0,0,0,0.92,0,0
 24-34,0,0.98,0,0,0,0,0,0,0.6,0,0.96,19.97,0,4.61
 36-46,0,0,8.4,0,3.06,0,0.76,0,0,1.45,0,29.25,0,1.71
 48-58,0,0,5.65,0,3.71,0,0.42,0,1.33,0,0,9.69,0,1.84
 60-70,0,0,4.43,0,0,0,0.63,2.72,1.28,6.62,0,12.24,0,0
 72-82,0,0,3.62,0,0,0,0,0,0,10.92,0,0,0,0
 84-94,0,0,1.12,0,0,0.64,0,0,0,5.05,0,0.94,0,0
 96-106,0,0,14.36,0,0,0,1.32,0,0,6.03,0,5.59,0,0
108-118,3.68,0.85,0,0,0,2.52,0,0,0,9.13,0,2.88,0,0
120,0,0,0,1.03,0,0,0,0,0,24.27,0,0,0,0
