stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,12.39,213.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.27,378.72,0,0,0,0,0,0,0,0,0,0,0,54.3,0,0,0,0,0,0,0,0,0
  7-9,8.72,0,22.75,0,0,0,0,0,13.31,0,0,0,0,168.52,0,32.21,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,0,0,0,24.3,0,0,0,0,157.99,10.58,48.28,0,0,4.86,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0.86,0,1.11,2.05,0,0
 24-34,0,0,0,0,0,1.97,1.45,0,0,0,1.55,2.32,0,8.81,0.71,0,7.56,0,0,0,0,0,0.62
 36-46,0,0,0,0,0,0,0,0,0,0,0.79,0.81,0,16.15,0,0,1.69,0,0,0,2.36,1.23,1.74
 48-58,0,0,0,0.86,0,9.61,0,0,0,2.99,8.64,1.38,0,7.95,0,0,2.59,0,0,0,4.66,0,2.66
 60-70,0,0,0,0,0,16.67,0,9.16,0,0,2.31,0,0.88,54.53,0,0,0,0,0,0,4.21,0,0
 72-82,0,0,0,0,0,3.03,0,0.66,0,0,0,4.52,0,12.87,0.53,0,0,0,0,0,2.01,0,0
 84-94,0,0,0,0.69,0,1.59,0,0,0,0,0,3.23,0,4.53,0,0,5.28,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.21,0,2.03,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.41,1.27,0,1.48,0,0,0,2.18,0,6.5,2.9,0,0,0,0,0,0,0,0
120,0,0,0,0,0,8.55,0,0,0,0,0,4.15,0,24.23,0,0,1.35,0,0,0,0,0,2.59
