stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.46,0,0,0,37.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.68,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,6.39,16.94,0,10.51,0,0,0,5.64,0.81,0,0,6.71,0,0,0,0,2.43,0,0,8.89,119.54,0,0,0,0,0,0,6.89,0.86,0,2.1,42.17,0,0,0,0,0
 24-34,0,0,0,0,0.64,2.46,0,8.9,0,0,0,9.54,0,1,0,0,0.64,0.63,0,0.9,18.27,0.86,0,5.01,473.54,0.63,2.1,1.28,0,0,0.72,0,1.67,0,0,134.29,0,0,5.54,0,0
 36-46,0,0,0,0,3.46,0,0,44.25,0,0,0,22.78,1.16,0.95,0,0,1.93,0,0,12.31,16.6,0,0,0.65,813.06,3.6,9.68,1.42,0,0,10.24,0,2.65,0,0,201.6,0,0,5.7,0,5.31
 48-58,0.77,0,0,0,6.41,0,0,142.72,3.88,0.62,0.91,28.88,0,1.65,0,0,12.57,0.49,3.29,3,26.48,0,4.89,4.22,779.88,1.04,2.94,1.96,0,0,2.42,0,0,0.46,0,184.05,0,0,15.32,0,6.76
 60-70,0,0,0,0,1.92,0.83,0,218.21,0,6.14,1.51,30.23,0.65,0.92,4.92,0,26.59,0,3.1,0.7,45.2,4.88,0,2.1,549.83,0.75,1.4,0.71,0,0,11.33,0,1.9,1.29,0,83.22,0,1.51,8.91,0,24.6
 72-82,0,0,2.42,0,4.27,0,0,260.8,0,2.6,0.6,28.9,3.05,1.08,3.25,1.23,14.07,0.65,0,0,50.87,0,2.4,0,460.86,0,0,4.93,0,0,12.12,0,4.82,0.55,0,43.33,1.15,0,7.71,4.67,10.22
 84-94,0,0,1.14,0,9.78,4.24,2.35,208.34,2.08,3.79,9.21,26.68,3.25,1.1,0.98,0.83,12.31,0.66,1.62,0.72,50.17,0,2.02,4.36,292.82,0,1.73,10.35,0,0,27.22,0,0.74,0,0,35.63,0.78,5.87,14.8,0,0
 96-106,0,0,2.46,0,9.81,4.01,1.63,277.45,0,3.07,3.06,28.48,4.08,0.61,1.98,1.85,13.16,0.84,0,2.9,42.89,4.99,1.09,2.2,226.09,0,0.63,3.03,0,0,30.89,0,1.89,0,0,30.36,0,0,6.42,2.17,2.47
108-118,0,0,0,0,5.74,0,4.28,135.87,1.47,2.5,1.28,17.73,6.57,0,0.47,0,40.7,0.82,1.97,7.8,51.38,1.08,2.68,3.57,353.1,0,2.06,0.87,0,1.91,31.79,0,5.84,1.23,0,4.31,2.79,0,21.34,0.72,1.88
120,0,0,0,4.41,1.48,1.71,2.74,77.57,18.62,4.59,0,88.02,14.32,1.15,12.27,3.77,4.44,0,0,0,60,0,10.38,2.7,392.12,0,5.53,14.01,0,19.53,28.05,0,3.63,0,0,9.65,0,0,43.08,0,0
