stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,9.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.49,13.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.1,0,0,0,15.3,7.64,0,0,0
 10-12,0,5.18,0,0,0,0,0,0,44.04,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0.88,0,1.64,3.04,0
 24-34,0,0,0,0,0,0,0,0,5,0,0,1.78,0
 36-46,0,0,0,0,0,0,0,4.59,3.01,0,0,0,0
 48-58,0,0,0,0,0,0,1.3,0.52,1.84,0,0,0.85,0
 60-70,0,0,0,0,9.09,0,0,1.18,2.17,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.67,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.86,0,0.84,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0.77
108-118,0,0,2.91,6.58,0,0.64,0.92,0.6,1.29,0,0,0,0
