stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0
  5-6,61.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,5.93,0,0,4.1,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,5.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.84,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21
 24-34,0,1.49,0,0,0,0,0,1.39,0,0,0.63,0,0.78,2.53,0,0,0,24.85,0,2.53,0,1,0,4.02,0,1.77,0,0.85,4.48,0,0.69
 36-46,0,0,0,0,4.67,0,0,1.2,0,0,0,0,0,2.1,0,0,0.78,34.25,0,0,0.58,0,0,0,2.77,0,4.33,0,4.05,0,0
 48-58,0,0,0,0,6.85,0,0.44,3.03,0,0,0,0.91,0.97,9.55,0,0,0,33.49,0,0,0,0,0,0.48,0,0,0,0,5.65,0,0.46
 60-70,0,0,0.74,0,22.72,0,0,24.45,0,0.63,0,0,0,3.58,0,0,0,44.89,0,0,0,0,0,3.27,0,1.12,0,0,5.97,0,0
 72-82,0,0,1.4,0,20.94,0,0,0.64,0.64,3.11,0,0,0,10.95,0.73,1.43,1.99,22.09,0,0,0,0,0,0,0,0,0,0,1.2,0,1.17
 84-94,0,1.32,2.73,0,8.58,1.6,0,1.34,0.58,1.44,0,1,0,6.27,0,0,1,31.61,0.62,0,0,0,0,5.45,0,0,0,0,2.87,0,0.57
 96-106,0,3.71,4.88,0,28.47,0,0,4.99,0.76,0,0,0,0,7.3,1.24,2.39,2.33,20.71,0,0,0,0,1.16,2.29,0,0,0,0,0,1.51,0
108-118,0,0,1.49,0,19.06,0,0.48,4.5,1.04,3.05,0.7,0,0,13.93,4.51,0,1.1,36.26,0.41,0.57,0,0,0,3.37,0,0,0,0,0,0,2.56
120,0,3.79,9.43,1.91,12.76,0,0,0,4.88,2.37,2.21,0,4.22,4.11,0,0,1.42,42.87,0,0,0,0,0,4.49,0,0,0,0,0,0,0
