stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,41.2,1351.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.24,0,0,0,0,0,0,0,0,0
  5-6,0,336.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.02,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4,0,0,0,10.27,12.66,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,35.84,0,0,0,21.38,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,409.61,3.12,0,0,30.17,9.22,0,0,19.03,0,0,0,0,0,0
 14-21,0,0,6.7,8.17,57.97,3.88,0,1.98,0,1.69,0,1.17,10.11,0,0,0,13.8,0,0,1.02,0,0,32.64,0.88,15.27,7.52,0,24.97,3.72,1.98,6.04,7.28,5.86,0,0,1.07,0
 24-34,0,0,7.92,13.03,24.36,0,0,2.49,0,0.86,0,0.64,6.79,4.58,0,0,18.28,4.48,3.08,9.12,3.76,4.11,78.47,0.75,96.22,17.64,0,74.24,0,0,5.88,0,13.44,0,0,2.73,0
 36-46,0,0,0,1.67,8.4,0,0,3.5,0,1.79,0,1.6,7.53,0.7,0,0,17.17,4.07,2.84,11.01,2.88,0.55,75.11,0.62,72.67,13.13,0,118.22,0.65,0,1.28,0,6.22,0,0,0,0
 48-58,0,0,0,0,19.16,0,0,17.64,0,0,0.39,5.36,1.47,2.84,0,0,3.14,2.11,4.77,24.28,2.57,1.57,72.8,0,47.81,28.32,0,65.06,0,0,2.38,0,6.95,0,0,0.41,0
 60-70,0,0,2.73,0,19.34,0,0,22.31,0,7.53,0,13.24,10.92,3.17,0,0,8.47,3.91,3.12,15.43,1.27,1.54,32.9,0,46.08,20.51,0,85.44,0,0,0,0,7.46,1.22,0,1.05,0
 72-82,0,0,10.69,0,12.96,0,0,16.46,0,0.55,0.5,17.17,20.24,3.19,0,1.08,9.93,10.68,6.61,34.24,10.73,3.14,40.34,0,65.45,31.33,0,30.11,0,0,10.72,0,0,12.3,0,2.04,0
 84-94,0,0,7.25,0,28.94,0,0,12.73,1.92,3.54,1.27,7.4,32.27,6.02,0,0,10.14,6.39,6.23,34.5,2.38,10.36,60.41,0.74,47.63,22.39,0,148.4,0,0,6.75,0,7.37,35.59,1.67,4.37,9.28
 96-106,0,0,7.6,0,32.04,0,0.8,26.05,0,1.81,0,4.77,43.74,2.12,0.86,5,5.86,14.94,6.28,24.8,20.51,0,48.61,0,109.7,32.22,0,107.5,1.35,0,2.58,0,12.33,26.76,0,5.73,9.09
108-118,0,0,3.78,0,18.54,1.59,3.13,9.69,0,10.34,0,11.46,31.6,0,0,1.53,14.31,9.46,10.13,19.66,24.45,1.78,53.71,0,69.33,27.18,0,88.48,0,0,1.2,0,7.73,47,0,3.91,0
120,0,0,0,0,35.05,0,0,1.13,0,2.2,0,30,18.73,0,0,1.38,19.74,9.44,2.52,20.77,19.8,3.7,24.28,0,83.84,30.17,0,56.75,0,0,3.8,0,10.42,21.01,0,0,0
