stage,blastomeres,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,olfactory,spinal.cord,taste
  3-4,11.16,0,0,0,0,0,0,0,0,0,0
  5-6,86.19,0,0,0,0,0,0,0,0,0,0
  7-9,6.96,0,0,0,0,0,0,32.27,0,0,0
 10-12,0,0,0,0,0,0,0,3.82,0,0,0
 36-46,0,0,0,1.42,0,0,0,6.25,0,1.54,0
 48-58,0,0,0,0.7,0,0,0,6.61,30.57,0.85,0
 60-70,0,0,4.56,0,0,0,0,7.13,74.73,0,0
 72-82,0,0,0,0,0,0,1.06,0,59.92,0,0
 84-94,0,0,6.07,0,0,0,0,0.88,7.4,0,0
 96-106,0,0,0.96,0,0.69,3.03,0,1.07,14.59,0,0
108-118,0,1.77,5.46,0,0,0,0,0,141.96,0,0.84
120,0,0,1.07,0,0,9.64,0,1.72,12.72,0,0
