stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,73.69,1884.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
  5-6,133.45,3609.2,16.03,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,84,26.29,0,0,68.64,0,15.15,0,0,0,0,0,0,0,0,0,0
  7-9,15.54,110.66,114.45,0,6.96,0,426.75,0,0,0,0,75.25,0,0,0,0,0,0,0,0,0,0,0,4147.28,58.74,0,0,1484.05,0,0,5.74,0,0,0,0,0,0,0,0,0
 10-12,0,133.58,209.09,0,37.49,0,303.14,0,0,0,0,12.04,0,0,0,0,0,0,0,0,0,0,0,3445.47,86.1,0,0,1380.84,0,0,0,3.96,108.2,0,23.81,9.39,0,0,0,0
 14-21,0,1.36,26.35,207.86,84.14,0,137.62,0,0,51.8,6.44,1.29,6,0.82,15.97,0,0,0,0,150.35,0,0,95.47,2614.52,66.26,22.18,15.76,96.15,0,41.21,0,235,8.53,0,148.9,721.73,0,0,11.91,0
 24-34,0,0,4.01,64.77,33.03,0,558.27,2.18,0.76,54.66,2.67,0,4.2,3.18,9.65,8.24,3.13,3.84,0,260.34,0,4.92,91.57,3577.14,32.77,19.81,18.5,0,0,71.59,0,4.11,3.16,0,12.55,630.78,0,0,46.77,4.54
 36-46,0,0,0.61,54.58,5.89,0,814.43,2.78,0,50.13,1.76,0,3.02,10.6,10.37,0.91,2.13,2.89,0,189.51,0,8.7,55.42,1875.2,16.56,10.13,6.52,0,0,22.09,0,0,2.78,0,0,345.02,0,0,8.16,19.08
 48-58,0,0,0,45.44,1.91,0,668.66,2.34,2.19,60.99,4.72,0,1.11,4.36,1.78,5.75,4.28,2.15,1.16,176.63,0.74,8.16,38.8,747.01,23.18,4.28,0.89,0,0,1.26,0,0,0,0.94,0,107.43,0,0,7.13,7.65
 60-70,0,0,0,29.18,0.63,0,388.32,1.25,2,62.17,6.7,0,2.08,0.59,1.1,6.02,1.13,1.82,1.14,107.98,1.08,4,17.48,472.35,0.85,1.62,1.49,0,0,9.27,0,0,2.82,0,0,17.13,0,0,10.27,0
 72-82,0,0,0,19.14,0,0,135.7,0,7.25,46.73,8.01,0,2.74,10.78,4.62,0.62,0.73,1.61,0.49,140.61,0.58,7.95,16.53,268.65,3.67,1.24,7.46,0,1.12,4.29,0,0,0,0,0,2.12,2.99,0,11.05,5.26
 84-94,0,0,0,30.76,8.54,0,181.2,0.62,2.51,55.84,6.24,0,1.45,7.1,11.92,4.37,0,1.3,0,126.58,0,15.05,29.01,248.38,1.07,5.15,7.56,0,1.4,11.32,0,0,1.35,0,0,3.57,6.34,0,21.9,0
 96-106,0,0,0,31.94,8.92,0,122.42,1.92,3.22,44.51,7.22,0,2.58,11.21,2.35,0,0.65,1.03,1.26,108.64,1.15,4.01,19.02,178.97,2.66,5.65,9.02,0,2.01,5.3,0,0,1.39,0,0,7.08,0,0,16.42,2.56
108-118,0,0,0,26.04,5.76,0.61,127.57,0.52,7.51,57.28,6.87,0,1,14.65,3.51,1.85,0.87,1.53,1.97,83.35,0.42,0.76,6.75,290.99,2.45,1.49,3.21,0,0,11.42,0,0,1.3,0,0,3.71,3.19,1.3,16.06,2.03
120,0,0,0,42.17,13.26,0,128.91,2.55,2.7,60.98,7.79,0,3.63,17.02,0,11.05,1.3,0,0,62.3,0,6.98,33.89,257.03,4.94,6.97,5.44,0,9.18,3.1,0,0,0,0,0,16.61,0,0,24.53,0
