stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,71.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.78,3.83,0,0,12.14,0,0,0,0,0,0,0,0,0,0,0,52.22,7.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,76.11,21.21,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,2.11,0,0,0,0,0,0,0.92,0,0.87,0,0,18.07,0,0,0,0,2.58,0,0,0
 24-34,0,0,0.94,0,1.83,0,0,0,0,4.18,0,1.13,1.23,0.88,0,0.72,54.54,0,0,1.94,0.74,11.75,0,0,0
 36-46,0,0,2.26,0,1.38,0,0,0,0,4.81,0,0,0,0,0,0.86,67.52,0,0,0,0,17.08,0,0,0
 48-58,0,0,0,0,5.24,0.85,0,2.33,0.6,1.75,0,0,0,0.65,0,0,97.72,0,0,0,0,10.1,0,0,0
 60-70,0,0,6.99,0.67,57.78,0,0,0,0,6.3,0,0,0,0,0,0,194.94,0,1.12,0,0,32.59,0,0,0
 72-82,0,0,0,0.58,103.92,0.57,4.07,0.51,0,8.69,0.74,0,0,2.43,0,0,254.28,0,0,0,0,24.21,0,0,0
 84-94,0,0,6.05,0.96,46.02,0,0.75,0,0,8.83,1.25,0,0,0.58,0,0,91.47,0,0,0,0,19.34,2.89,1.06,0
 96-106,0,0,0.79,2.3,123.15,0,0,0,0,28.13,0,1.13,0,0.89,1.02,0,134.17,0,0,0,0,0,0,0,0.72
108-118,0,0,0.45,0.56,157.2,0,3.8,0,0,7.53,0,0.45,0,0,0,0,206.07,0,0,0,0,5.19,0,0,0
120,0,0,1.75,2.34,313.59,0,11.19,1.08,0,29.56,0,0,0,0,0,3.57,475.07,19.84,0,0,0,27.69,0,0,0
