stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,26.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.42,0,0,0,30.11,0,0,0,0,0,0
 10-12,0,4.94,5.73,0,0,23.16,0,0,0,3.5,0,0,0,0,0,94.27,0,0,0,24.5,4.24,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,1.83,0,0,0
 24-34,0,0,0,0,0,0.68,0,0,0,0,0.9,0,2.99,0,0.64,25.59,0,0,0,0,1.24,0,4.76,0.89,0,0
 36-46,0,0,0,1.07,0,0.76,0,2.78,0,0,0,0,1.53,0.67,1.99,13.37,1.14,0,0,0,0,0,3,0,0,0
 48-58,0,0,0,0,0,17.1,0,0,0,0,0,0.83,2.77,0,0,13.71,0,0,0,0,2.26,0,6.45,0,0,0
 60-70,0,0,0,0,0,0,0,0.84,0,0,0,0,4.14,0,1.99,3.73,0,0.84,0,0,1,0,12.04,0,0,0
 72-82,0,0,0,0,0,8.51,0,0.8,0,0,0,0,2.1,0,0.54,3.14,0,0,0.97,0,4.93,0,1.12,0,0,0
 84-94,0,0,0,0,0,0.67,0,0,0.76,0,1.57,0,1.23,0,0.86,2.36,0,0,2.22,0,0,0,2.28,0,0,0
 96-106,0,0,0,0,0,0.84,0,10.09,0,0,0.58,0,5.9,0,0,9.03,0,0,0.8,0,0,0,0,0,0,0.91
108-118,0,0,0,0,0,6.12,0.7,3.22,1.21,0,0,0,0,1.04,0,4.64,0,0,0,0,3.57,0,0,0,0,0
120,0,0,0,0,7.42,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,2.2,1.04,0,0,3.77,0
