stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,106.42,971.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,627.63,2916.81,0,0,0,0,0,0,0,0,0,81.18,0,0,0,0,0,0,0,0,0,0,265.09,27.67,0,0,59.42,0,22.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,398.87,137.49,116.44,0,5.98,167.64,0,0,0,0,0,152.67,0,0,0,0,0,0,0,0,0,0,1981.49,291.59,0,0,1787.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.58,60.69,0,0,108.77,0,0,0,0,0,22.92,0,0,0,0,0,0,0,0,0,0,1377.41,117.88,0,0,758.3,0,0,9.81,0,112.89,0,37.81,0,0,0,0,0,0
 14-21,0,0,4.49,33.19,6.22,12.5,0,0.87,0,8.68,7.66,0,10.34,0,0,0,0,0,0,28.1,0,37.94,371.33,13.97,0,6.7,5.38,0,2.59,4.68,55.66,16.72,62.87,180.16,127.41,0,0,3,0,0
 24-34,0,0,0.62,12.38,2.17,23.59,1.9,5.72,0,14.47,3.75,0,3.38,0,0.89,0,0,0,0.59,53.45,0,35.74,709.99,3.22,2.38,3.55,0,0,1.85,0,0,1.45,4.26,37.32,178.72,0,0,8.73,0,0
 36-46,0,0,0,7.63,0,37.66,21.45,8.41,2.37,75.14,1.31,0,1.67,0,0,0,0.91,0,0,79.62,0.71,19.46,709.64,0,1.15,21.54,0,0,0,0.81,0,0,1.63,0,195.77,0,0,0,0,0
 48-58,0,0,0,0.85,0.45,69.93,38.63,0,5.64,91.63,0,0,1.05,0,5.67,0,0.89,0,0,116.35,0,19.82,336,0.38,0,2.17,4.77,1.06,0,0,0,0,3.16,0,143.11,0,0.91,0,0,0
 60-70,0,0,0,11.4,0,67.98,22.42,0,0.64,49.32,0,0,13.88,0,0,6.04,1.02,0,0,82.56,1.99,13.51,125.46,0,0,3.81,0,0.71,0.9,0,0,0,6.64,0,66.9,0,2.94,0,0,7.78
 72-82,0,0,0,8.51,0.56,31.69,20.93,0,3.86,34.77,0,0,0,0,0.53,0,0,0,0,61.57,4.3,12.15,90.55,0,0,1.21,0,3.38,0,0,0,0,1.59,0,8.51,0,1.41,2.64,0,12.21
 84-94,0,0,0,0.65,0,51.42,29.54,0,2.65,8.09,0,1.71,0,0,0,0,2.53,0,0,43.18,1.37,13.81,60.26,0,6.35,3.66,0,0,12.07,0,0,0.56,2.73,0,4.95,1.37,2.03,5.04,0.74,8.82
 96-106,0,0,0,0,2.58,45.31,22.45,0.81,0,25.65,0,0,0,1.19,0.56,0,0,10.14,0,33.72,2.48,12.18,30.74,0,0,1.4,10.66,0,11.48,0,0,0,4.43,0,1.51,1.59,0,0,0,2.03
108-118,0,0,0,2.99,0,26.64,23.87,1.47,0,9,1.08,0,3.91,2.85,0,0.95,0,0,0,34.85,1.34,16.7,76.32,0,0,0.65,0,3.12,1.65,0,0,0,2.37,0,8.58,0.43,0,0,0,1.4
120,0,0,0,0,6.44,42.11,33.46,0,1.98,20.13,0,0,0,2.66,0,0,2.85,0,0,12.09,0,8.7,69.56,3.33,0,4.43,0,0,6.59,0,0,0,4.7,0,0,0,0,0,9.56,0
