stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.96,148.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,18.58,0,0,3.33,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.85,0,0,0,0,0,0,0,0,28.83,0,0,4.36,0,0,0,0,0,0,0
 14-21,0,0,1.01,1.94,5.79,0,0,0,0,0,0,1.27,2.27,14.45,0,0,0,0,6.12,1.88,0,0,0,0
 24-34,0,0,0,0,4.78,0,0,0,0,0,0,2.94,0,16.18,0,1.12,0,0,5.62,6.42,0,0,0,1.99
 36-46,0,0,0,0,2.38,0,1.31,0,0,0,10.49,0,0.68,4.49,0,0,0,2.52,0,1,0,0,0,0
 48-58,0,0,0,0,10.21,0.88,0,0,0,0,0,0.4,0.47,11.5,0.56,0.74,0,0,0,0.88,0,2.76,0,0
 60-70,0,0,0,0,1.13,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,1.65,0,0,0,0
 72-82,0,0,0,0,4.46,0,6.59,0,0,5.79,0,0.49,0,4.51,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.99,0,5.21,0.63,2.85,0,0,1.25,0,8.42,0,0,0,0,0,0,0,0,2.78,0.64
 96-106,0,0,0,0,0,0,0.75,0,0,0,0,0.98,0,0.87,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.35,0,0,0,0,0,0,0.53,0.55,4.75,0,0,0,0,0,0,1.22,0,0,0
120,0,0,0,1.18,0,0,0,0,0,0,0,0,0,25.57,0,0,0,0,0,0,0,0,0,0
