stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,424.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,6.68,0,0,4.21,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,9.86,0,3.57,0,0,0,0,0,0,0
 14-21,0,3.52,6.85,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,39.27,0,4.61,0.99,0,0,0,0,53.67,0,0,0,0,0
 24-34,0,1.52,0,1.81,0,3.32,0,0,1.98,0,0,0,0,27.06,6.05,0,0,0.6,534.47,0,25.61,0,0,1.27,0,0,126.91,0,0,3.43,0,1.39
 36-46,0,0.95,0,2.43,0,17.07,1.85,0,2.91,0,0,0,0.61,115.28,4.28,0,0,1.49,1209.92,0,36.01,0,0,1.69,0,0,257.57,0,0,0,0,0
 48-58,0,0,0,1.22,0,71.89,0,1.45,15.08,0,0,0,0,90.67,5.88,0,2.99,1.65,1587.78,0,22.28,0.7,0,1.71,0,0,222.45,0,0,3.23,0,2.34
 60-70,0,0.89,0,1.71,0,196.48,0,0,4.41,0,0.7,0,0,55.28,14.39,0,0,5.38,1759.36,0,20.43,1.6,0,7.45,0,0,238.09,0,0,3.19,0,0
 72-82,0,0,0,3.62,9.29,185.21,0,0.5,9.99,0,0,1.96,0.91,43.06,13.92,0,5.47,2.17,1274.27,0.56,53.81,2.16,0,0,0,0,112.95,2.78,0,0,0,2.01
 84-94,0,0,0,11.13,0,103.99,4.74,0,14,0,1.23,0,0.69,149.04,19.24,0,1.48,0.99,701.54,0,36.66,2.15,0,0.57,0,0,73.95,0,0,0.8,2.03,0
 96-106,0,0,0,24.93,0,99.37,0,0.69,23.97,0,0.74,2.05,1.64,61.05,11.17,0.67,0.59,0,609.76,0,53.73,7.94,0,0,0,1.05,52.69,0,4.02,0,0,3.35
108-118,0,0.41,0,14.75,5.1,82.23,0,0,17.91,4.07,0,2.13,0,111.64,11.58,0,0,0,855.9,0,32.57,1.72,0,1.19,0,2.63,17.88,1.13,1.46,0.55,0,0
120,0,5.92,0,6.36,0,176.63,14.64,0,4.62,0,0,0,0,54.99,16.26,0,9.54,0,1067.79,0,39.96,0,0,0,0,0,18.15,0,0,0,0,0
