stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0,0,6.96,3.26,0,0,0,0,0,0,0
 10-12,0,0,10.05,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,31.17,0,0,5.15,16.48,0,0,4.95,0,0,0,0
 14-21,0,0,0,1.74,0,0,0,0,0,0,2.3,4.32,0,0,0,0,0,0,0,1.88,0,0,0,10.09,0,0,0,0,0,0,0
 24-34,0,0,0,3.57,0,0.61,0,0,0,1.02,12.31,5.92,0,0,0,0.69,0.65,0,0,14.97,1.48,0,0,80.55,0,0,0,2.81,0,2.18,0
 36-46,0,0,0,23,0,2.15,0,0.72,1.98,0,228.77,1.48,0,0,0,4.2,0,0.77,0.93,21.51,0,0,0,105.43,0,1.05,0,3.83,0,0,0
 48-58,0,0,0,16.16,0,3.82,4.06,0,0.82,0.98,33.18,1.22,0,0,0,0.68,1.07,0,0,16.06,0.39,10.76,0,83.79,0,0,0,4.22,0,0.55,2.69
 60-70,0,0,0,26.6,0.71,5.54,4.57,0,5.29,0,223.14,6.93,0,0,0,5.46,3.08,0,0,14.8,0,4.14,0,62.5,0,0,0,1.06,0,0,0
 72-82,0,0,0,27.48,0,7.99,1.97,0,0,3.1,36.03,6.18,0,0,0,6.47,2.73,0,0,24.72,0.56,14.89,0,24.71,0,0,0,0,4.63,0,0
 84-94,0,2.22,0,52.2,0,1.97,3.81,0,0,4.73,36.4,8.74,0,0,6.93,2.06,6.01,2.35,0,9.79,0,2.43,0,92.79,0,0,0,0,0,6.78,0
 96-106,0,0,0,73.27,1.85,15.64,7.17,0,1.92,6.15,111.4,10.32,0,2.61,0,3.63,4.5,0,0,22.04,2.45,1.64,0,96.07,3.82,0,0,0,0.66,0.74,0
108-118,0,0,0.74,76.23,0,8.59,9.01,0,2.98,10.31,78.51,12.65,0,0,0,1.26,0.75,0,0,17.81,0,2,0,76.23,0,0,0,0.57,0.43,0.83,0
120,0,0,0,72.73,0,2.07,10.72,0,0,1.29,129.54,17.45,1.3,0,0,9.04,1.56,0,0,26.35,0,1.31,0,50.4,0,0,0,0,0,1.54,0
