stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.36,493.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,0,0
  5-6,129.27,527.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.27,0,5.1,0,0,5.77,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,154.33,3.38,0,0,37.07,0,0,5.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.71,27.7,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,14.41,10.34,0,0,0,0,0,2.02,0.98,0,0,3.32,0,0,1.8,0,0
 24-34,0,0,0,0,3.63,4.36,2.25,0,2.1,0,0,0,0,1.65,1.56,0,0,0,0,0,3.04,0,0,7.53,61.69,0,2.02,0,0,0,0.59,0,0,0,0,9.46,0,0,217.33,0,0
 36-46,0,0,0,0,0,0,3.37,0,0,0.96,2.94,0,0,0,0,0,9.53,0.85,0,0,7.42,0,0,2.37,62.54,3.13,0,0.57,0,0,0,0,0,0.88,4.29,12.91,0,0,624.02,0,0
 48-58,0,0,0,0,1.89,3.17,11.58,0,0,0.41,10.65,0,0,0,0,0,51.47,0.39,0,0,18.25,0,0,1.28,37.28,0.56,0,0,0,0,7,0,0,0,0,20.96,0,0,661.93,0,0
 60-70,2.52,0,0,0,8.35,0,83.7,0,0,0.73,2,1.66,0,0,0,0,112.02,0,0,0,27.59,0,0,1.7,74.25,0.66,0,2.05,0,0.97,6.36,0,0,0,0,11.84,0,0,583.39,0,0
 72-82,0,0,0,0,0.55,0.49,191.8,0,0,0,6.86,2.21,0,0,0,0.83,127.67,0,0,0,58.51,0,0,1.34,56.62,0,0,3.32,0,0,2.71,0,0,0,0,10.06,0,0.84,987.21,0,3.02
 84-94,0,0,1.01,0,2.71,10.19,240.5,0,0,0,11.67,1.47,0,0,3.3,3.86,98.26,0,0,0,61.07,0,0,0,79.6,0,0,2.85,0,0,5.76,0,0,0,0,8.54,0,0,832.01,7.34,0
 96-106,0,0,0,0,3.79,30.66,304.15,1.95,0,0.82,14.01,0,0,0.75,3.35,3.62,118.27,0,9.85,0,38.58,0,3.59,1.08,40.76,0,0,0,0,0,6.27,0,0,2.11,0.57,1.14,0,2.45,843.1,1.43,0
108-118,0,0,0,0,3.85,5.28,308.99,1.01,0.64,1.36,20.39,0,0,0,0.59,0,141.82,0,3.29,0.84,52.06,0.93,5.89,6.59,55.16,0,0,0.43,0,1.28,3.57,0,0,1.02,0.51,0,0.63,0,636.36,0.49,1.16
120,0,0,0,0,0,8.35,140.71,0,0,0,6.24,0,0,0,2.13,0,73.04,0,0,0,47.34,0,13.09,0,32.41,1.24,0,0,0,0,0,0,0,0,0,0,0,0,902.32,0,0
