stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.57,0,0.93,5.18,0,0,2.82,0,0,0
 24-34,0,0,0,0,0,3.08,0,0,0,3.99,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0
 48-58,0,0,0,1.26,0.4,0,1.95,0,0.46,30.84,0,0,0,1.49,0,0.9
 60-70,0,0,0,4.62,1.28,0,0,1.98,0,29.04,0,1.19,0,0,0,0
 72-82,0,0.76,0,4.85,0.65,0,2.4,0.81,0,31.37,0,8.07,0,0,0,4.73
 84-94,0,0,0,0.58,0,0,1.82,0,0,6.9,0,3.51,0,0,0,5.82
 96-106,0,1.68,0,2.55,1.09,0,0,1.84,0,22.47,0,1.56,0,0,1.92,6.66
108-118,0,0,0.42,18.48,0.62,0,3.42,0,0,16.05,0,0,0,0,1.93,8.3
120,0,1.43,0,9.47,0,0,0,0,0,47.23,0,0,0,0,0,4.69
