stage,blastomeres,epidermis,eye,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,pronephros,somites,spinal.cord
  5-6,17.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.57,0,0,0,0,0,0,10.89,0,0,0,0,0
 10-12,13.62,0,0,0,0,0,0,0,0,75.05,0,10.79,5.98,0,0
 14-21,0,0,0,1.6,1.08,0,0,0.94,1.42,29.75,2.52,0,0,1.12,8.84
 24-34,0,0,0,0,0,0,0,0,0,22.26,0.87,0,0,0.66,1.27
 36-46,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0
 48-58,0,1.53,0,0,0,0,0,0,0,2.68,0,0,0,0,0.63
 60-70,0,0,0,0,0,0,0.79,0,0,1.89,0,0,0,0,0
 72-82,0,0,0.91,0,0,0,0,0,0,1.87,0,0,0,0,0
 84-94,0,0,0,0,0,0.75,0.61,1.22,0,0,0,0,0,0,0
108-118,0,0,0.7,0,0,0,0,0,0,3.09,0,0,0,0,0
