stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,43.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.25,0,2.2,0,0,0.88,1.91,0,0,0,0,0,0,12.75,0,0,0,0.87,9.26,3.4,0,0,0
 24-34,0,0.67,0.81,1.03,2.74,0,0,0.7,0,1.21,0,0.64,1.04,0,0,13.31,0,0,3.18,0,0,2.5,0,0,0
 36-46,0,0,1.64,0,0.76,0,0,0,0,0,0,0,0.99,0,1.1,8.47,0.59,0,0,0,0,4.82,0,0,0
 48-58,0,0,8.01,0,1.65,0,0,0,0,0,0,0,0.63,0,0,16.19,0,2.48,0.65,0,0,2.88,0,0,0
 60-70,0,0,0,0,1.98,0,0,0,0,0,0,0,2.19,0,0.8,6.09,0,3.01,2.29,0,0,3.61,0,0,0
 72-82,0,0,0,0,6.98,0,0,2.05,0,0,0,0,3.28,0.63,0,8.07,0,1.49,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.54,0,2.17,2.3,0,0,0.73,0,1.07,0,0,13.1,0,0,2.82,0,0,2.9,0,0,3.28
 96-106,0,1.36,0.84,0,9.69,0.56,0,4.51,0,0,0,0,0,0,0,11.95,0,5.21,0,0,0,0,0,1.42,0.95
108-118,0,0,0.76,0,5.37,0,0,1.19,0,0,0,0,3.42,0,0,5.29,0,1.04,1.1,0,0,0,2.49,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0,0
