stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0
 10-12,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,0,0,0,0,0,0
 14-21,0,0.84,5.09,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0.93,0,0,0.93,4.54,0,1.02,0,1.35,1.32,0.84,3.25,0,0,2.72,0,0
 24-34,0,0,0,0,8,0,0,0,0,0,0,0,0.6,0.63,0,2.63,1.56,0.7,0,0,5.49,0,0,0,5.06,0,1.6,8.78,0,0,10.01,0,0.79
 36-46,0,0,0,0,13.39,0,0.77,0,0,0,0.6,0,0.78,0,0,6.7,2.64,0,0,0,40.23,0,0,0,0.68,0,0,14.75,0,0,4.36,0,3.23
 48-58,0,0,0,0,1.31,4.09,0,0.89,0,0,0,0,5.32,0.42,2.04,1,0,0,0,0,46.63,0,0,0,0.88,0,0,18.18,0,0,1.34,0,1.99
 60-70,0,0,0.66,0,8.64,0,0,3.49,0,0,0,0,0,1.28,0,0,4.26,0,0,0,84.9,0,0.86,0,5.12,0,0,33.12,0,0,5.16,0,0
 72-82,0,0,2.72,0,32.26,2.73,0,0,1.04,0,0,0,0,0,0,7.87,3.6,0,0,0,59.95,2.41,0.56,0,3.07,0,0,5.58,0,0,1.38,0,0
 84-94,0,0,12.6,8.55,23.52,0,0,0.9,0.71,1.95,0,0,0,0.62,0,1.11,0,0,0,0.96,33.92,0,0,0,2.65,0,0,11.59,0,0,11.34,0,0
 96-106,0,0,5.38,0,9.77,0,0,5.49,0.59,0,2.18,0,1.71,0.81,0,0,1.95,0,0,0,38.36,2.06,0,0,7.84,0,0,3.58,0,1.81,4.2,0.86,0
108-118,0,0,6.2,0,14.26,0.42,0,8.57,1.31,0,0.83,1.44,1.39,3.94,0,0.98,2.04,0,0.75,0,40.94,0.96,0,0,4.67,0,0,0,0.91,0,3.23,0.55,0
120,0,3.17,2.42,0,11.5,0,0,3.21,7.84,0,3.96,0,0,12.97,0,0,14.53,0,1.45,0,61.17,0,0,0,9.98,0,0,7.12,0,0,5.09,0,0
