stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,visceral.smooth.muscle
  3-4,125.86,2012.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.07,0,0,0,0
  5-6,79.29,823.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64,0,0,0,0
  7-9,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,45.51,9.19,0,0,10.47,0,7.7,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61,9.81,0,0,29.16,0,0,0,0,0
 14-21,0,0,0,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,1.38,0,0.97,0,0.85,4.1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78,0,0,0,0,0,0,1.55,4.9,0
 36-46,0,0,1.03,0,0,0,0,0,1.56,0,0,0,0,0,1.72,0,0.6,35.81,0,0,0,0,4.12,0,0,2.59,0
 48-58,0,0,0,0,0,4.54,0,0,1.48,1.69,0,0,0,0,3.7,0,0.42,42.94,0,0,0.41,0,0,0,0,10.37,0
 60-70,0,0,0,0,0,18.38,0,0,0.63,0,0,0,0,0,0,0,1.98,36.17,0,7.03,0,0,0,0,0,5.42,0
 72-82,0,0,2.18,0.55,0,22.69,0,0,0,0,0.57,0.66,0,0,0,0,0,43.33,0,0,0,0,0.51,0,0,11.43,0
 84-94,0,0,0,0,0,0,0,0,0,0.8,2.18,0,5.42,0,0,0,0,35.02,0,0,0,0,0,0,0,1.92,0
 96-106,0,0,1.89,0,0,0,0.71,0,0,0,2.13,0,0,0,1.18,0,0,19.98,0,0,0,0,1.21,0,0,0,0
108-118,0,0,1.57,0,0.84,7.07,0,0,0,0.85,0,0,0,2.02,2.04,2.13,0,15.11,0,1.7,0,0,3.01,0,0,0,0.69
120,0,0,0,0,0,5.53,0,1.31,0,0,3.38,0,0,0,0,1.46,0,29.06,0,0,0,0,12.77,0,0,0,0
