stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,5.54,4.37,0,0,0,0,0,0
 14-21,0,2.21,0,0.86,0,0,0,0,0,1.2,0,3.73,0.9,0,0.94,0,0,0,1.23,0,1.82,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,3.81,1.99,0,0,0,0,0,1.23,0,1,0,0,0
 36-46,0,0,0,0.61,5.14,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0.58,0,1.44
 48-58,0,0,0,5.54,0,0.64,0,0,0,1.63,0,1.81,0,0,0,0,0,0,2.26,0,0,0,2.77
 60-70,0,0,0,17.81,0,0,0,0,2.19,0.83,0.68,0,0,0,0,0,0,0,1.94,0,1.11,0,0
 72-82,0,0,0.49,72.98,0,0.93,2.02,0,0,1.72,0,2.61,0,0,0,0,0,0,0,0,0,2.51,0.55
 84-94,0,0.89,0,76.81,0,0,0,0,0,2.59,0,6.03,0,0,0,0,0,1.62,0,0,0,0,0
 96-106,0,0,0,49.04,0,0,0,1.1,0,5.95,0,2.82,0,0.66,0,0,0,0,0,0,0,0,0
108-118,0,0,0,38.8,0,0,0,2.21,0,5.32,0,7.62,0,0,1.12,0,0,3.24,0.42,0,0,0,0
120,0,0,0,65.4,0,0,0,1.2,0,6.02,0,0,0,0,0,0,0,2.05,1.6,0,0,0,0
