stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,43.97,100.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,85.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,42.67,0,0,0,0,0,0
  7-9,0,5.69,3.54,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0,104.23,4.58,0,0,11.87,11.81,0,0,0,0,0,0
 10-12,0,15.83,6.03,0,0,0,23.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.57,3.56,0,0,3.12,0,8.35,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,0.8,0,0,3.28,0,0,0,0,0,0,0,0,3.69,0,0,0,14.69,0,0,1.24,0.87,4.53,0,1.01,4.9,0,0,0
 24-34,0,0,0.59,1.38,0,0,1.2,0,0,0,0,0,0.75,0,0,0,0,0,4.98,0,0,1.93,38.87,0,0,0,0,4.3,0,0,11.92,0,3.36,0
 36-46,0,0,0,0,0,0,3.92,0,0,0.6,0,0,0,0,0,0,0,0,10.78,0,0.8,0,51.75,0,0,0,0,3.28,0,0,26.3,0,0.67,0
 48-58,0,0,0,0,0,0,4.62,0,0,11.36,0,0,0,0,0,0,0,0,2.97,0,0,1.27,53.98,0,0,2.97,0,0,4,0,11.2,0,5.49,0
 60-70,0,0,0,0.75,0,0,20.49,1.31,0,12.2,0,0,0,0,0,0,0,1.05,8.53,0,0,0.77,73.33,0,0,1.03,0,3.98,0,0,7.46,0,0.86,0
 72-82,0,0,0,0.64,4.74,0,27.65,3.52,2.62,0.89,0.66,0,0,0,0,0,0,0,6.18,0,0,0,88.98,0,0.79,0.8,0,0,0.5,0,0.7,0,0,0
 84-94,0,0,0,0,0,0,21.43,0,0,3.86,0,0,0,0,0,0,0,0,3.39,1.51,0,0,21.25,0,0,2.58,0,0,0,0,10.92,0,0,0
 96-106,0,0,0,1.58,0,0,7.07,0.69,0,9.04,0,0,0,2.19,0,0,6.54,0,6.21,0,0,0,47.29,0,0,0.9,0,5.77,0,0,6.05,1.94,0,0
108-118,0,0,0,0.47,0,1.29,23.88,0,0,1.44,0.7,0,0,1.52,0.81,0.7,0,0,4.14,0,0.83,0,13.53,0,0,0,0,0,0,0,2.99,0,0.55,0.44
120,0,0,0,8.06,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.51,0,0,0,0,0,1.26,0,0,0,5.84,0
