stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.01,74.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,39.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.95,0,0,0,37.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.85,0,0,0,29.8,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,11.42,5.88,0,0,0,0,0,2.05,0,1.3,2.44,0.8,0,0,0,0,3.58,0,0,4.33,27.99,18.27,0,0,2.08,1.57,10.66,0.85,3.66,11.18,15.53,0,0,4.17,0,2.62
 24-34,0,0,0,1.28,5.83,4.52,14.57,0,1.85,0,3.7,0,0,2.16,0,1.8,1.14,0,1.67,0.66,11.94,1.24,0,9.45,106.25,0,0,2.71,0,10.18,0,1.79,0,3.45,16.52,0,0,7.13,0,0
 36-46,0,0,0,0,1.49,0,19.29,0,0.57,0.6,6.05,0.57,0,0,0,0,0,1.49,4.79,19.83,11.03,0,0.92,3.64,67.75,1.03,1.02,0.71,0,11.44,0,3.56,0,0,14.19,0,0,0.92,0,0
 48-58,0.39,0,0,0,0,1.68,31.3,2.83,4.32,1.23,9.11,0,0,0,1.79,0,0,0.44,0.46,0.6,19.79,0,0.82,1.82,33.1,0.54,0.44,0,0,7.75,0,0,0,0,6.83,0,0,1.63,0,0.82
 60-70,0,0,0,0,3.91,0,19.05,0,0.9,0.62,6.07,0,0,0.77,0,0,0,0,0,0,34.22,0,0,5.09,9.69,0,0,2.15,0,1.31,0,7.12,0,0,2.69,0,0,1.62,0,0
 72-82,0,0,0.83,0,4.48,2.77,19.68,1.3,0.69,1.08,8.84,0,0,0,1.33,0,0,0,0,0,19.07,0,1.98,1.93,3.18,0,0,0,0,1.87,0,0,1.81,0,0.55,0,0.52,3.32,1.83,0
 84-94,0,0,0.98,0,5.86,1.96,11.77,0,0,0,5.23,0.97,1.95,0,9.71,0,0,0,4,0,9.22,6.09,0,0.61,4.09,0.74,0,3.3,0,5.11,0,0,0,0,0,0,0,6.91,0,0
 96-106,0,0,1.15,0,1.31,14.01,18.97,0,1.9,0,10.43,2.92,0,0.95,8.18,0,3.46,1.5,0,0,39.01,0.57,0,4.36,15.47,0,0,0.73,0,9.69,0,0,0,0,4.12,1.14,5.23,8.81,0,0
108-118,0,0,0,0,1.61,4.46,11.61,0,0,0.96,6.66,0.71,0,0.68,2.55,0.96,0,0.44,3.2,0,22.73,5.91,1.48,7.4,17.29,0,0,1.02,0,15.74,0,0,0,0,0,0.81,3.45,2.38,0,0
120,0,0,0,0,0,6.29,1.08,1.03,0,12.97,3.5,0,0,0,11.58,0,0,1.63,0,0,24.43,0,0,0,11.22,0,0,0,0,14.03,0,0,0,0,0,2.24,0,18.68,0,0
