stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,363.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.01,331.91,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,0,8.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,73.8,41.63,0,64.08,0,0,145.64,0,0,0,0,0,80.46,0,0,0,0,0,0,0,0,0,0,0,1057.89,27.22,0,0,328.16,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.39,0,73.55,0,7.85,124.03,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1481.86,67.97,0,0,564.4,0,0,4.94,4.61,46.76,0,24.99,0,0,0,0,0,0
 14-21,0,0,1.07,4.79,52.74,74.43,54.48,0,0,0,51.63,6.59,0,1.07,0,2.99,0,0,0.97,9.19,81.97,0,0,62.93,781.16,3.74,2.73,3.4,17.58,0,2.74,2.71,56.67,0,35.69,187.19,490.05,0,0,65.42,0,3.09
 24-34,0,0,1.49,1.93,20.98,12.77,108.24,0,0,5.08,65.56,0,0,5.46,0,1.44,2.56,2.23,1.4,5.78,195.75,0,0.91,129.55,1272.45,2.14,1.02,12.25,0,0,4.57,0,0,0,8.67,36.61,420.85,0,0,249.04,0,6.04
 36-46,0,0,1.35,0,5.6,4.67,277.72,0,1.14,13.06,127.17,0.57,2.19,6.9,0,0,2.09,1.15,0,18.75,374.01,0,37.61,113.39,1280.47,0,3.41,6.07,0,0.77,2.14,0,1.63,2.75,3.52,0.83,354.17,0,1.85,161.27,0,34.87
 48-58,0.39,0,0,0.61,6.03,4.17,646.68,2.17,5.28,21.45,309.81,0,0,10.26,0,0.8,2.61,1.24,0.86,29.14,420.65,0,71.25,81.9,689.12,0.88,3.04,2.95,0,3.82,5.78,0,0,0,4.92,0,299.89,0,2.3,115.15,0,40.53
 60-70,0,0,0,0,10.1,0,1241.39,6.12,3.14,25.14,489.32,0.65,0,9.4,3.92,0.93,13.46,3.37,0,21.81,368.28,0,90.88,67.77,435.73,0,1.85,6.73,0,8.22,0,0,0,0.58,4.41,0,131.17,0,32.36,92.99,14.57,26.24
 72-82,0,0,0,0,12.77,0,769.1,1.83,0.74,13.6,594.82,0,1.02,9.84,0,0,9.72,4.71,0,13.67,356.94,0,37.86,40.49,371.99,0,1.21,16.25,0,2.35,0,0,0,1.12,0.51,0,61.94,1.79,22.38,189.72,42.02,50.59
 84-94,0,0,0,0,28.93,0,559.88,4.39,0.59,20.42,375.72,5.26,0,7.22,0.7,2.73,13.51,0.73,4.36,56.96,268.7,0,75.54,29.16,240.57,0,0,10.62,0,1.39,3.03,0,0,1.02,0.66,0,29.31,5.53,18.19,150.97,42.94,22.82
 96-106,0,0,0,0,17.38,0,383.63,16.71,0.63,21.45,485.39,2.27,0,11.95,0,2.18,7.55,0.92,0,4.64,286.1,0,28.01,52.94,214.58,0,1.21,10.2,0,10.63,0.72,0,0,0,1.25,0,25.33,9.01,9.05,229.54,51.69,13
108-118,0,0,0.41,0,18.98,2.48,328.86,5.5,1.39,9.83,545.55,1.48,0,4.1,4.85,2.04,16.47,0,0,35.15,243.37,0.77,32.99,29.04,213.37,0,3.02,4.38,0,11.68,3.16,0,0,0,1.33,0,22.3,8.5,5.75,152.27,17.75,32.89
120,0,0,0,0,44.04,1.29,190.87,4.89,0,23.31,570.32,5.1,0,0,0,1.45,24.51,4.13,0,1.55,294.72,0,24.86,15.84,343.66,0,1.15,1.84,0,0,0,0,0,0,0,0,30.8,12.32,2.15,122.85,36.85,23
