stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.32,2949.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.66,0,0,0,0,0,0,0,0,0,0,0
  5-6,179.94,2411.64,0,9.08,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,221.75,23.37,0,0,30.88,0,123.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,89.91,182.34,0,270.45,0,5.98,0,435.99,0,0,0,0,373.6,0,0,0,0,0,0,0,0,0,0,0,4930.04,79.79,0,0,1891.97,0,7.66,71.68,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,194.69,0,240.4,0,11.28,0,528.44,0,0,0,0,52.52,0,0,0,0,0,10.63,0,0,0,0,0,6048.56,140.91,0,0,2131.14,0,23.48,41.78,7.52,232.78,0,18.4,3.51,0,0,0,0,0
 14-21,0,0,0,24.54,239.26,119.74,0,179.14,0,0,61.1,17.46,0,3.15,0,21.41,0,1.33,0,0,197.47,2.08,0,125.17,2566.49,73,5.02,31.14,67.4,0,85.4,0,150.55,7.4,3.17,200.5,719.95,0,0,18.72,0,0
 24-34,0,0.83,0,8.16,77.72,95.81,0,818.68,3.43,4.23,81.52,0.67,1.15,6.31,4.65,11.66,3.55,9.18,2.24,0,365.68,0.74,0.89,154.69,4021.71,11.8,33.98,31.7,0,0.99,131.24,0,3.28,3.53,0,18.55,775.71,0,0,95.55,0,9.16
 36-46,0,0,0,0.56,67.58,63.94,0,1717.87,17.59,4.62,114.75,4.97,0,3.35,30.92,0.95,39.44,8.14,4.32,0,424.75,3.06,10.75,118.54,2938.34,4.06,17.7,26.32,0,0,91.7,0,8.35,1.82,0,0,624.99,0,0,53.01,0,14.27
 48-58,0,0,0,0,78.46,43.49,0,1370.72,13.54,4.3,86.18,11.21,0,5.75,8.14,9.4,14.2,6.61,7.73,1.71,469.43,5.28,24.54,91.27,1315.4,4.91,3.14,24.9,0,0.64,27.95,0,0,3.91,0,0,155.99,0,0,60.45,0,18.19
 60-70,0,0,0,0,88.56,27.88,0,889.57,5.59,2.1,187.84,27.36,0,4.99,6.16,3.74,19.59,10.84,1.41,8.77,391.75,2.3,35.24,50.01,851.99,1.11,9.87,9.12,0,0.66,23.44,0.64,0,0,0,0,74.71,0,0,30.59,3.08,12.26
 72-82,0,0,0.86,0,48,23.41,1.22,339,1.19,14,107.95,15.99,0,10.31,7.58,7.86,8.97,5.09,10.43,0.82,339.4,2.17,14.68,65.65,460.13,5.29,11.52,12.58,0,2.31,13.89,0,0,0.52,0,0,17.31,0.67,1.75,35.93,0.93,12.83
 84-94,0,0,1.2,0,99.03,31.64,0.58,346.01,6.79,11.38,94.09,16.51,0,6.53,15.19,5.82,9.2,6.42,4.23,9.28,387.18,1.44,42.46,70.65,444.08,7.25,11.08,13.14,0,1.55,43.56,0,0,3.74,0,0,31.46,4.31,7.54,66.14,2.89,19.7
 96-106,0,0,1.13,0,56.68,41.79,1.08,210.9,0.67,0.69,95.49,18.21,0,5.04,18,3.01,1.36,6.71,3.59,0,243.6,5.38,19.4,33.97,302.6,0.62,4.63,13.43,0,2.81,29.23,0.7,0,2.84,0,0,0.58,3.32,2.7,35.27,2.68,14.95
108-118,0,0,0.6,0,59.26,40.07,0,261.54,0.54,12.29,99.76,16.58,0,6,25.47,9.62,14.53,7.35,3.82,0.48,227.46,8.15,12.29,38.44,445.38,4.39,4.8,17.17,0,0.76,24.63,0,0,2.72,0,0,6.37,1.63,0.81,41.66,3.78,3.25
120,0,0,0,0,89.19,41.3,1.14,283.81,5.03,6.06,204.87,17.17,0,7.73,46.64,3.08,9.82,4.08,2.83,0,340.16,0,8.54,62.03,470.33,13.06,18.98,5.3,0,33.38,18.18,0,0,1.75,0,0,28.27,0,0,87.81,4.61,0
