stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.72,31.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.79,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,6.22,0,0,0,0,0,0
 14-21,0,0,0,0,26.62,0,0,0,0,0,0,0,19.32,0,0,0,0,1.08,0,0,0,0,6.47,0,0,0,0,22.19,0,0,0,0,0.98,0
 24-34,0,0,0,0.67,151.78,0,2.66,5.15,0,0,0,0,57.06,1.74,0,1.89,0,0,1.68,3.6,0,0.96,30.32,0,4.31,0,0,224.91,0,5.77,0,0,0,0
 36-46,0,0,0,0,175.88,0,0,26.42,0,0.95,0,0,72.87,2.8,0,0.57,0.62,0,1.47,5.65,0,0,45.8,0,5,0,0,292.01,0,1.09,0,0,0.83,0
 48-58,0,0,0,0,202.43,0,16.3,34.84,0.86,3.95,1.26,0.67,75.5,0.75,0,1.91,0,1.15,2.96,2.32,0,0.42,23.06,0,0.4,0,0,230.55,0,10.52,0,0,1.21,0.54
 60-70,0,0,0,0,249.84,0,7.38,44.79,0.8,4.62,0.66,0,88.02,3.65,0,0.73,0,0,13.49,10.91,0,0,7.68,0,0.89,0,0,226.84,0,1.53,0,0,2.8,5.4
 72-82,0,0,0,0,188.31,3.61,12.01,36.73,1.09,10.93,0,0,78.32,4.98,5.12,4.68,0,0,6.4,14.54,0,0,36.88,0,1.01,0,0,140.75,0,0,1.03,0.91,3.38,5.01
 84-94,0,0,0,0,348.43,0,17.64,73.84,12.03,11.06,1.61,0.82,140.86,23.6,0,0.78,0.58,0,2.01,16.54,1.04,0,6.54,0,7.33,0,0,326.76,5.71,0,5.41,0,1.83,0
 96-106,0,0,1.05,0,320.7,2.65,20.42,41.52,13.58,16.62,0,0,112.43,17.3,0,5.34,3.29,0,13.31,22.79,0,0,24.4,0,14.86,0,0,236.69,0,0,5.91,0,5.66,1.22
108-118,0,0,0,0,426.21,7.26,6.48,82.58,9.23,25.66,0,0.69,124.71,18.91,0,5.58,2.74,0,0.5,20.7,0,0,37.09,0.45,9.32,1.29,1.23,211.32,0,6.78,6.44,0,6.68,0
120,0,0,0,0,349.26,1.46,8.52,85.85,0,27.2,0,0,167.59,22.18,0,10.7,3.42,0,8.12,8.66,0,0,19.03,0,2.13,1.43,0,254.43,3.39,0,0,0,2.88,0
