stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.4,3276.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.31,0,0,0,0,0,0,0,0,0,0
  5-6,192.4,3407.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.73,0,0,0,56.5,0,46.2,0,0,0,0,0,0,0,0,0,0
  7-9,69.53,40.75,0,44.45,0,0,0,113.4,0,0,0,0,0,95.74,0,0,0,0,0,0,0,0,0,0,0,998.43,44.18,0,0,279.12,0,4.29,29.99,0,0,0,0,0,0,0,0,0
 10-12,0,58.3,0,27.75,0,0,0,74.19,0,0,0,0,0,58.62,0,0,0,0,0,0,0,0,0,0,0,814.75,22.1,0,0,344.84,0,0,6.03,0,81.46,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,8.95,3.57,0,19.23,0,0,0,1.2,0,0,0,0,0,0,0,0,0,25.45,0,0,17.52,69.24,3.02,0,0,0,0,0,1.38,15.55,0,0.86,66.21,22.69,0,2.47,0,0
 24-34,0,0,2.22,0,5.39,3.52,0,27.02,0,0,0,0.62,0,4.49,0,0,0,0,0.86,1.51,0,20.06,0,0,8.47,132.78,2.22,0.77,0,0,0,1.45,0,0,0,0,15.84,24.1,0,4.92,0,7.51
 36-46,0,0,0,0,10.6,1.4,0,37.04,0,0,0,2.56,0.82,0.76,1.47,30.28,0,1.88,0,0,1.24,12.84,0,0,19.17,92.01,0.6,3.98,0,0,0,1.81,0,0,0.65,1.89,0,14.81,0,6.13,0,15.57
 48-58,0,0,0,0,9.36,0.45,0,59.76,1.99,0,1.33,4.25,0,0,0,0,0,2.6,0.53,0,1.22,15.73,0.74,0.58,5.28,133.46,3.28,7.15,0,0,0,4.68,0,0,5.71,1.75,0,16.27,0,7.82,0,20.15
 60-70,0,0,0,0,4.39,9.35,0,79.06,4.43,0,3.71,25.05,0,0,4.11,0,2.41,12,0,0,0,46.72,1.46,0,11.4,217.8,1.31,0,2.76,0,0,4.81,0,0,0,1.71,0,27.8,0.94,3.51,0,16.88
 72-82,0,0,0,0,1.68,18.34,0,35.3,1.52,0,4.77,22.01,0,0,0.9,0,0,0,1.84,0,6.25,44.66,0,2.6,7.45,160,1.89,0.71,2.65,0,0,0.57,0,0,0,2.89,0,15.18,0,3.81,0,20.05
 84-94,0,0,0.7,0,14.71,23.75,1.24,23.59,0,2.93,3.8,27.35,1.57,0.99,0,0,2.16,0,0,5.99,4.4,47.79,0,3.24,8.54,92.26,0,2.7,3.87,0,1.01,8.72,0,0,0.67,0.73,0,1.12,6.11,3.21,5.16,12.83
 96-106,0,0,0,0,8.95,25.93,0.8,70.16,13.07,0,7.49,45.88,0.69,0,0,3.17,1.65,6.24,1.14,9.42,6.93,40.31,0,0,4.97,166.18,3.55,4.7,2.78,0,0,7.66,0,0,0,1.95,0,23.11,0,12.12,0,2.46
108-118,0,0,0.84,0.65,10.7,2.98,6.82,58.72,8.57,0.6,0.5,47.55,0.67,0,0.51,1.56,0,6.36,0.43,4.86,3.14,73.81,0,6.66,14.91,202.4,0.42,0.87,6.04,0,0,2.12,0,0,0.92,3.69,0,9.5,2.05,2.44,0,15.64
120,0,0,0,0,32.01,23.52,4.48,136.73,5.83,5.76,5.4,73.19,0,0,3.24,2.75,0,15.08,4.14,6.83,1.54,157.92,1.31,0,36.65,451.48,5.87,23.23,12.53,0,8.27,0,0,0,0,10.75,0,31.21,0,11.43,3.74,0
