stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,7.04,0,0,0
 24-34,1.75,0,0.88,0.94,0,0,0,1.04,0,1.43,0,7.22,0,1.93,23.46,0,6.49,0,0,0,0,1.59,0,1.91,21.2,0,0,0
 36-46,1.71,0,0,6.52,0,0,0,0,0,0,0,11.25,1.06,0,47.98,2.71,0,0,0,0,0,0,0,0.6,16.06,0,0,0
 48-58,3.36,0.38,24.56,13.46,0.62,0,2.79,0,0,0,0,18.49,1.38,6.67,130.32,0,14.64,0,0,0,0,0,8.85,0,43.55,0.89,0.48,0.5
 60-70,0,0,46.55,16.31,0,7.51,0,0,0,0,0,85.99,8.62,2.19,187.9,0,0,0,0,14.65,0,0,5.4,0,26.29,6.87,0,1.7
 72-82,0,0,57.91,1.06,0.9,4.73,0,0,1.88,0,0,43.84,6.51,4.03,193.65,0,7.35,1.53,0,39.15,0,0,1.66,0,11.75,8.6,0,5.18
 84-94,1.52,0,30.78,7.96,1.51,0.99,0,0,0,0.77,0,48.68,11.59,5.72,103.33,0,6.06,0,0,9.94,2.36,0,0,0,10.16,1.91,0,15.1
 96-106,4.06,2.71,82.66,8.52,0,5.43,0,0,0,0,1.8,36.05,2.51,2.02,129.4,0,3.39,0,0,42.98,5.17,0,2.8,0,12.97,0.79,0,12.35
108-118,1.39,0,34.64,4.65,1.08,6.28,0,0,0,0,0,61.1,13.82,11.71,124.62,1.42,2,4.42,0,71.59,2.17,0,2.41,0,0.7,5.13,0,11.24
120,0,0,53.52,25.23,0,14.36,0,0,0,0,0,62.13,0,54.66,371.19,0,16,0,10.96,138.4,1.02,0,2.33,0,9.58,16.14,0,15.54
