stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,805.18,0,0,0,0,1.56,0,2.57,0,0,0,1.07,0,1.92,65.69,0,0,0,0,1.58,0,10.73,0,12.03,0,0.6
 36-46,0,0,0,2757.58,0,0,3.48,0,0,0,1.95,0,0,6.19,7.2,0,0.69,101.55,0,0,0.61,0,12.86,0,11.84,0,11.97,0,5.47
 48-58,2.9,0.86,0,2285.09,0,0,7.81,0,0,0,0,0.41,0,0.71,15.46,0,0.48,114.33,2.93,0.77,0,0,3.86,0,15.75,0,4.77,0,7.35
 60-70,1.56,0,0,3623.67,0.69,0.78,12.54,0,6.72,0,0,0,0,0,5.69,0,3.18,82.94,0,0,0,0,5.88,0,21.75,0,9.53,0,26.52
 72-82,0,0.7,2.97,3116.87,0,0,6.03,0,0.49,0,0.55,0,0,0,14.54,0,4.37,59.57,0,0,0,0,2.37,1.5,12.47,0,1.01,0,9.68
 84-94,2.86,3.11,0,2652.01,0,0,4.3,0.97,0,0,8.01,0,0,0,14.18,0.72,0,20.89,0.62,0,0,0,6.58,0,0,0.71,0,0,0
 96-106,0.77,0,0,1284.16,0,0,0,0,0,0.68,0,0,0,0,5.57,0,0.88,33.2,0,0.7,0,0,6.61,0,6.68,0,0,2.11,0
108-118,0.44,4.23,0,1437.26,0,4.55,6.49,0,0,0,0,0,1.03,0,16.71,1,0,39.48,0,0,0,2.83,0.5,0,4.05,2.41,0.83,0,0
120,0,0,0,1255.71,0,0,6.19,0,0,0,6.51,0,0,0,7.67,0,0,69.38,0,0,0,0,0,0,2.96,0,0,2.01,0
