stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,88.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,310.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.81,13.08,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.06,0,0,0,0,0,34.59,0,0,0,0,0,0,0,0,0,0,0,86.8,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.97,0,0,0,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0
 24-34,0,0,1.39,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0
 36-46,0,0,0,0,0,40.33,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0
 48-58,0,0,0,0,0,174.11,0,0,0,2.52,0,11.84,0,0,0,0,0,0,0,1.07,0,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.83,0,0,1127.53,0,0,0,1.13,0,11.54,0,0,0,0,0,0,0,2.11,0,0,0,59.09,0,0,0,0,0,4.18,0,0,0,2.66,0,0,0,2.15,8.09
 72-82,0,0,5.81,10.14,0,3453.98,0,0,0.69,17.44,0.56,0.89,0,1.29,0.61,19.25,2.09,5.43,0,13.42,0.71,0,0,136.33,2.3,0,2.21,0,0,5.8,1.65,0,0,3.74,0,0,1.92,0.76,8.13
 84-94,0,0,28.4,0,0,3548.52,0.56,1.04,0,2.88,1.85,3.89,2.32,0,1.15,3.33,0,0,0,11.66,0,0,6.57,122.57,3.12,0,4.61,0,0,3.55,0,0,0,8.32,1.03,0,3.56,0,8.7
 96-106,0,0,45.83,18.12,2.52,11501.8,16.09,2.42,5.22,37.32,1.91,1.06,5.22,6.73,2.3,5.12,0.9,11.75,0,46.23,0,0,6.02,246.18,0.75,1.66,1.65,0,3.51,21.71,0,0,15.82,6.38,1.66,0,26.72,1.36,0
108-118,0,0,15.94,10.92,0.73,13238.63,0.54,6.19,8.85,22.73,7.17,0,0.89,1.71,0.42,1.33,0,4.31,8.2,94.27,0,0,5.49,412.38,0,0,1.16,0,0,23.8,0,0,0,10.86,2.14,0,13.74,1.51,12.33
120,0,0,157.21,17.44,0,32991.26,0,8.17,12.33,82.6,6.6,0,4.21,32.86,0,5.74,5.13,4.85,10.94,137.47,3.49,6.13,14.71,1001.28,0,13.31,25.71,0,22.2,22.11,0,9.09,0,16.47,0,2.2,4.15,3.35,0
