stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.67,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0.85,0,6.85,0,0,0,0
 24-34,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,36.02,0,0,0,0,0,0,32.11,0,0,0,0
 36-46,0,0,0,0,0,0,2.01,0,0.75,0,0,0,0,0.67,0.94,0,0,0,0,116.94,0,0,0.64,0,0,0.58,93.14,0,0,0,4.38
 48-58,0,0,0.54,0,0,0.46,14.45,0.37,2.8,0,0,0,0,0,0,0,2.41,0,0,317.71,0,0,0,0,0,0,79.38,0,0.88,0,0.49
 60-70,0,0,0,0,1.57,0,92.9,0,22.35,0,0,0,0,1.63,0,0,3.8,1.81,0.97,623.83,0.83,0,2.59,0,0,0,128.58,0,0,0.89,0
 72-82,0,0,0,0,1.76,0,97.71,0,30.37,0.94,0,0,0.83,3.24,0,7.99,7.77,0,0.96,858.03,0,0.75,3.01,0,0,0,86.45,0.97,0,0,0
 84-94,0,0,0,0,1.49,3.99,117.65,0,9.05,1.31,0.7,4.37,0,2.75,0,0,1.22,1.06,0,574.01,0,0,0,0,0,0,60.56,0,0,0,6.84
 96-106,0,0,0.81,0,6.01,8.98,95.52,0,24.11,1.56,0,0.99,1.03,2.68,0,0,7.24,0,0,517.64,0,1.12,7.87,2.06,0,0,48.2,0,0,1.85,0
108-118,0,0,0,0,11.03,0,76.16,0,19.49,0,0,2.34,0,1.24,0,0,6.74,0,0,657.71,4.3,0,0,0,0,0,26.92,0.68,2.89,0,0
120,0,0,0,0,1.18,0,72.31,0,36.44,0,0,1.65,0,0,0,0,0,0,0,1085.48,4.01,0,0,0,0,0,79.81,0,8.24,0,0
