stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,8.89,0,0,0,0,0,0,0,0,0
 14-21,1.38,4.76,1.65,0,0,0,0,0,0,0,0,0,5.69,0,0,1.88,12.97,0,0,0,0.88,0,0,0.93,3.64,5.36,0,0,0,0
 24-34,1.97,0.63,0,2.02,1.86,0,1,0,0,0,0,0.68,7.19,0,0,0,158.2,0,0,0.9,0,1.25,0.76,0,0,10.89,0,0,1.24,0
 36-46,0,0,0.66,1.74,0,0,0,0,0,0,0,4.05,7.64,0,0,0.58,277.99,0,1.95,6.48,0,0,0,0,0,28.17,0,0,4.09,0
 48-58,0,0,0.37,7.03,0,0,1.78,1.15,3.3,0,0,0,4.93,0,0,0,98.51,0,0,1.89,0,0,0,0,0,13.78,0,0,0.78,0
 60-70,0,0,1.78,7.51,9.35,1.24,1.87,0,1.91,0,0,4.15,22.26,0,0,0,103.61,0,0,3.65,0,0,0,0,0,0.85,0,0,1.65,0
 72-82,3.67,0,0,14.39,0,1.26,3.52,0,4.74,0,0,0,19.15,0,2.07,1.09,126.57,0,0,1.95,0,0,0,0,0,9.54,0,0,10.75,2.24
 84-94,0,0,3.01,20.21,0.55,0,0.69,1.97,0,0,0,0,12.67,1.51,1.87,0,65.45,1.18,0,4.66,0,0,0,0,0,4.48,1.5,0,1.23,0
 96-106,0,0,1.99,12.76,0.59,0.81,3.06,1.62,7.75,0,1.48,1.45,16.27,0,0,0,62.89,0,0.81,3.67,0,0,0,0,0,0,5,0.58,1.35,0
108-118,0,0,0.53,15.2,1.93,0,1.03,0,1.62,0.55,1.48,0.55,8.45,0,0,0,68.9,0,0.77,3.2,0,0,0,0,0,1.8,3.24,0,4.3,0
120,6.42,0,6.06,0,1.91,0,4.67,1.38,0,0,0,0,8.49,0,0,0,124.38,0,0,1.28,0,0,0,0,0,0,9.12,0,0,0
