stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,349.8,13928.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.43,0,0,0,0,0,0,0,0,0,0
  5-6,321.93,13576.13,0,0,0,0,0,0,0,0,0,19.85,0,0,0,0,0,0,0,0,0,0,0,30.91,0,0,0,0,0,181.62,0,0,0,0,0,0,0,0,0,0
  7-9,47.63,61.75,0,0,0,151.53,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,1949.98,231.47,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.68,39.48,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484.59,319.38,0,0,165.61,0,0,0,104.92,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,342.16,12.37,20.09,0,4.01,0,0,0,0,0,0,0,0,0,0,4.57,124.68,0,0,164.88,59.59,93.29,0,1.74,2.14,0,3.27,60.67,0,45.69,277.68,13.41,0,0,3.16,0,6.24
 24-34,0,0,1.69,186.25,0.81,18.27,0,28.6,6.86,0.64,0,0,3.59,0,0.64,0.85,0,0.65,11.8,375.9,0,0.81,143.62,104.53,48,1.03,5.1,0,0,0,3.99,0,7.4,44.34,13.87,0,0,4.73,0,30.44
 36-46,0,0,0,81.19,0.58,7.82,0,17.84,12.62,2.19,0,0,1.84,0,0,1.48,2.29,16.36,59.9,348.72,0,7.36,92.39,114.53,25.69,0.91,0.66,0,0,4,0,0,0.64,0,5.63,0,9.39,14.5,0,64.27
 48-58,0,0,0,76.92,0,24.73,1.05,36.32,24.26,11.94,0,0.75,2.24,0,0,3.34,0,0,22.79,474.76,0,1.23,70.89,152.85,8.79,0,0,0,0.59,2.46,0,0,0,0,4.04,0,2.48,10.06,0,44.3
 60-70,0,0,0,94.86,0,12.84,1.01,22.76,18.98,0,0,0,1.09,0,1.84,7.5,7.23,0,20.3,444.45,0,1.09,30.96,60.32,9.69,0,5.32,0,1.1,0,0,0,0,0,1.6,0.99,4.73,31.41,0,39.55
 72-82,0,0,0,51.27,0,27.72,0,15.2,23.19,4.49,1.61,0,0,0.6,2.79,14.4,2.27,0,18.46,604.12,0.58,5.46,50.55,30.95,2.94,0,1.24,0,11.46,0,0,0,1.08,0,0,0,9.07,35.1,3.66,37.56
 84-94,0.62,0,0,109.12,0,31.71,0,34.58,39.11,5.78,0,0,1.1,2.22,2.25,18.59,1.32,0,35.58,477.09,0.58,26.52,33.13,32.66,13.59,0.56,0.75,0,6.23,1.7,0,0,0,0,1.08,3.37,19.16,44.11,3.33,34.01
 96-106,0,0,0,61.55,0,22.68,0,32.21,22.61,6.71,0.78,0,6.46,0.57,2.81,19.15,3.21,4.24,10.88,462.65,0,10.62,22.66,62.53,4.16,5.37,0.6,0,12.92,0,0,0,0,0,0,0,8.17,47.5,4.67,27.52
108-118,0,0,0,79.21,0.61,36.62,0,30.42,18.4,1.53,0.68,0,7.69,1.31,10.21,54.94,0,7.14,33.79,552.65,0,0,17.15,96.55,14.35,2.2,0.53,0,4.82,4.33,0,0,0,0,0,0,19.86,28.98,2.99,39.43
120,0,0,0,133.79,0,30.36,0,49.46,34.99,3.21,1.14,0,12.74,0,0,14.04,0,0,24.88,687.61,3.49,0,54.2,82.47,19.57,1.62,1.76,0,35.07,0,0,0,0,0,0,1.84,12.82,27.66,0,24.37
