stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.31,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.44,7.86,0,0,56.49,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.47,0,0,0,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.43,59.95,0,0,108.19,0,0,0,0,31.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.86,105.52,32.18,0,11.95,0,0,0,9.18,4.5,12.88,0,0,0.87,0,0,1.89,334.42,0,0,236.67,301.16,5.68,1.08,12.13,12.02,0,9.29,0,74.53,0.84,3.86,66.02,158.63,0,0,53.86,0,0
 24-34,1.76,0,0,7.43,72.61,7.22,0,32.99,0,2.75,27.05,78.02,3.64,54.89,0,0,2.81,3.03,0.69,0.9,1225.67,0,0.69,638.83,873.44,7.79,6.09,14.42,0,4.81,8.53,0,2.32,3.02,4.63,27.72,291.33,0,0,398.58,0,3.36
 36-46,0,0,0,0,39.56,0.58,0,54.09,2.88,8.97,80.92,189.87,0,86.65,1.07,0,2.3,0,0,0,2321.58,0,53.07,690.23,750.29,2.26,2.91,23.13,0,6,0,0.65,8.27,1.06,4.45,0.83,299.89,0,11.11,285.84,0,0
 48-58,0.58,0,0,0,34.17,3.94,0,107.77,1.67,4.35,112.21,231.76,0,72.24,1.01,0,3.97,0.73,4.52,1.18,3000.77,1.26,127.45,532.97,620.88,0.51,1.25,12.39,0,7.2,2.46,0,0,0.93,1.12,0,224.88,0,14.4,223.16,0.5,2.45
 60-70,0,0,0,0,38.31,2.2,0,112.92,13.94,11.23,139.4,312.52,0,41.67,13.45,0,0,0.73,3.59,6.22,4214.68,0.57,224.92,426.23,499.43,0,1.07,29.91,0,62.71,10.06,0,0,0,0,0,101.62,0,83.52,156.18,24.91,6.67
 72-82,0,0,0,0,63.49,4.61,0,293.8,6.67,3.9,284.31,609,2.7,83.68,5.82,5.28,4.03,7.95,0.8,0,5889.84,0.51,384.81,492.2,602.68,0,2.65,40.38,0,106.67,8.53,0,0,0,0,0,54.68,2.92,163.8,225.88,149.64,12.54
 84-94,6.16,0,0,0,91,9.78,0.7,305.92,10.77,2.7,239.26,470.22,0,81.21,7.56,1.72,5.18,6.73,1.37,1.36,4967.56,0,372.97,432.63,483.65,0,5.59,33.72,0,98.08,2.12,0,0,7.38,0.69,0,78.99,2.73,160.09,223.86,189.73,6.03
 96-106,2.25,0,0,0,159.54,16.82,2.39,386.41,9.17,21.24,281.04,941.73,5.78,173.84,11.2,2.62,10.53,5.5,8.5,8.69,6792.17,6.58,429.66,445.81,989.55,4.86,7.78,69.61,10.66,215.12,18.78,0,0,8.83,0,0,52.95,1.68,262.13,411.15,307.87,22.09
108-118,0,0,0,0.49,164.27,5.95,3.42,288.42,8.36,5.84,286.93,1041.87,3.73,93.52,9.69,9.35,13.02,5.61,6.59,1.23,8773.44,3.71,511.14,492.19,946.96,0.41,6.69,91.31,0,329.98,11.41,0,0,1.99,0.68,0,50.05,6.6,259.28,350,194.45,16.82
120,0,0,3.29,0,142.63,9.23,0,194.79,10.53,31.34,194.51,797.3,1.19,114.22,20.27,5.92,6.03,7.97,34.45,0,6742.71,0,728.42,390.7,812.1,0,0,136.49,10.96,352.11,23.34,0,0,0,0,0,51.45,2.31,247.39,245.83,217.51,0
