stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,108.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.34,173.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,5.33,0,0,0,21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.15,13.75,0,0,23.98,0,16.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.37,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.65,0,0,0,10.69,0,10.91,0,3.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.82,63.21,1.85,0,0.86,0,0,0,4.17,6.97,9.92,1.92,0,4.31,0.92,0,7.86,0,0,3.98,44.26,3.93,0,0.89,0,0,141.58,5.98,2.58,4.38,7.33,14.7,0,0,0,0,0
 24-34,0,0,0.65,2.7,51.12,0,0,17.55,0,10.19,0,2.4,2.42,2.51,1.73,1.85,24.99,2.29,0,9.44,13.97,0,9.68,83.98,0.67,2.59,7.99,0,0,421.48,0,12.99,1.16,5.37,19.04,0,0,2.14,0,0
 36-46,0,0,0,0,38.06,0,0,10.4,0,5.39,0,7.37,0.72,0,0.75,0,15.45,4.07,0.56,10.22,14.39,0.57,4.6,67.68,2,6.87,8.76,0,0,450.64,0,6.92,0,0,17.9,0,0,2.72,0,0.66
 48-58,0,0,0,2.15,53.01,0,0,19.49,0,10.47,0,3.32,0.38,0,0.63,0,18.83,4.46,1.49,17.02,12.63,0,1.9,77.68,0,3.41,7.76,0,0.61,211.07,0,9.62,0,0,14.19,0,0,6.98,0,0
 60-70,0,0,0,0,48.25,1.39,0,17.48,0,6.15,0.72,15.72,2.66,0,0,0,6.92,2.97,1.37,23.02,5.37,1.54,3.74,23.65,1.42,5.58,11.87,0,0,135.4,0,2.29,0,0,3.21,2.97,0,4,0,4.52
 72-82,0,0,0.9,0,29.07,3.73,0,24.11,0,4.37,4.08,4.21,8.11,0,0,2.61,7.83,4.3,0,26.72,11.39,1.14,1.68,30.88,2.7,2.88,8.83,0,0.8,67.79,0,4.4,0,0,7.63,0.62,2.27,3.48,0,0
 84-94,0,0,3.54,0,63.51,0,0.7,16.25,1.58,14.35,0,4.76,16.75,0,0,2.37,17.63,1.91,13.39,25.27,12,0.61,4.32,30.8,1.46,5.56,6.24,0,0,190.4,0,4.24,0,0,3.34,9.58,1.15,0,0,0
 96-106,0,0,0,0,69.27,6.82,0,14.69,0,11.44,0,10.43,31.38,0,1.33,5.38,14.86,3.62,1.52,29.45,11.09,0,3.73,29.03,0,1.31,10.97,0,0,195.3,0,3.75,0,0,11.07,9.85,0,6.58,3.88,0
108-118,0,0,0,0,89.53,0,12.66,7.16,0.42,10.52,3.21,6.36,25.28,0,0,2.61,17.08,1.59,7.66,14.79,7.93,0,1.18,19.51,0,5.35,7.5,0,0,134.53,0,1.2,0,0,10.24,6.1,0,0.48,1.3,0
120,0,0,0,0,78.97,0,5.27,45.84,0,11.43,1.85,0,30.98,0,0,0,8.91,4.12,3.49,10.36,1.13,2.75,0,36.72,0,0,4.17,0,0,98.02,0,2.23,0,0,0,10.58,0,0,0,0
