stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93,0,0,12.63,0,0,0,0,0
 14-21,0,13.37,0,0,0,0,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.06,0,1.22,0,0.69,40.7,0,0,1.44,0,2.22,0.78,0,0,0,1.84,0,0.75,0,0.79,0,0
 36-46,0,0,0,0,0,0,0,0,0,89.78,0,0,3.55,0,0.72,1.12,0,0,0,0,0,2.71,0,1.74,0,0
 48-58,0,0,0,1.22,0,0,1.16,0,0.89,87.41,0,0,11.2,0,0,6.23,0,0,0,0,0,0.75,0,3.89,0,0
 60-70,0,0,0,0,0,0,0,0,0,103.77,0,0,12.21,0,0,1.29,3.57,0,0,0,0,0,0,38.81,0,0
 72-82,0,0,0,0,0,0,0,0,0,118.29,0,0,30.33,0,0,9.01,2,0,0,0,0,0,0,71.17,2.91,0
 84-94,0,5.4,0,6.05,0,0.91,1.77,0.73,0,195.36,0,0,40.36,0.65,9.58,4.82,0,0,0,0,0,0,0,46.35,3.33,5.84
 96-106,2.02,11.72,0,12,0,0,3.66,0,0,286.35,0,0,25.29,6.1,1.18,3.31,0,0,5.3,0,0,4.54,0,48.53,11.02,0
108-118,2.03,0,0.88,5.43,0,0,1.65,1.02,0,223.15,1.1,0,37.71,0,0.65,15.25,6.44,0,8.18,0,0,3.11,0,42.06,13.15,0
120,1.58,4.9,0,2.58,1.09,0,0,0,2,198.13,0,4.9,32.77,6.37,9.03,8.1,0,0,5.9,0,0,0,1.95,13.9,23.19,0
