stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.74,627.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,336.45,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.56,0,4.19,0,0,0,23.92,0,0,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0,258.6,21.37,0,0,44.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.72,10.36,0,9.48,0,30.15,0,0,0,0,0,12.95,0,0,0,0,0,3.73,0,0,0,0,0,261.12,4.54,0,0,104.92,0,0,9.99,0,12.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.62,4.61,0,2.92,0,0,0,1.23,1.14,0.98,0,0,0,0,0,0,0,4.13,0,0,3,36.17,6.41,0,3.1,0,0,6.33,0.9,9.65,0,1.32,9.13,17.06,0,0,0.86,0,0
 24-34,0,0,0,5.33,0.7,0,6.27,0,2.23,4.47,4.6,0,0,1.46,0,3.34,0,0,0,0,15.5,0,0,8,93.07,0.67,0.68,0.96,0,0,7.34,0,0,0.76,1.32,1.28,18.45,0,0,14.02,0,0
 36-46,0,0,0,1.15,0,0,9.33,0.67,0.69,1.13,1.7,0.95,0,0.63,0,3.61,0,0.7,0,1.56,8.77,0,0,5.49,61.26,0,4.3,0.72,0,0,22.81,0,0,0,0,0,27.43,0,0,16.92,0,2.73
 48-58,0,0,0,2.54,0,0,18.67,0,2.07,10.28,11.25,0,0,0.4,0,0,0,0.48,0,4.5,21.64,0.71,0,0,62.21,0,1.12,1.07,0,0,6.66,0,0,0,0,0,21.26,0,0,1.72,0,0
 60-70,0,0,0,4.45,0,0,22.93,0,5.18,5.69,10.15,0,0,0,0.69,0,2.55,0.77,0,0,27.52,0,2.87,10.49,63.52,7.52,0,3.64,0,0,9.37,0,0,0,0,0,9.5,0,0.61,4.68,0,0
 72-82,0,0,0,8.5,0.59,0,36.49,0,0.55,1.93,10.35,0,0,0.66,0.69,0.53,0.72,0,0,0,57.3,0,0.62,1.2,72.65,0.73,2.96,6.07,0,0,5.84,0,0,0,0,0,5.57,0,0,9.36,0.61,0
 84-94,0,0,0,8.01,0.56,0,5.44,0,1.43,2.52,10.73,3.12,0.66,0,0,0,0,0.6,0,8.01,27.49,11.16,1.07,4.39,27.83,0,2.19,5.79,0,0,13.63,0,0,0,0,0,20.61,6.05,0,7.55,0,0.74
 96-106,0,0,0,6.23,8.61,0,24.03,0,5.98,4.5,13.16,0.64,0,3.66,1.6,0.77,0,0,1.91,0.6,46.62,2.64,4.96,2.91,51.8,0,2.32,2.97,0,0,15.78,0,0,0,0,0,5.61,1.69,0.93,3.35,1.42,4.01
108-118,0,0,0,12.62,1.88,4.32,17.55,0,1.77,0.75,9.43,2.54,0,0,1.07,3.21,1.69,0,0,2.2,60.58,0,0,2.47,50.73,5.67,2.71,7.19,0,2.89,16.47,0,0,0,0.66,0,0,0,1.16,8.07,0,6.32
120,0,0,0,11.62,1.62,0,12.21,0,8.66,0,13.4,7.31,0,13.62,0,5.64,0,0,1.34,0,38.02,0,0,0,100.13,0,0,9.59,0,12.66,18.9,0,0,0,0,0,0,3.65,0,19.59,8.78,0
