stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,notochord,periderm,somites,spinal.cord
  3-4,77.35,0,0,0,0,0,0,0,0,0
  5-6,16.08,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,25.43,0,0,0,0
 10-12,0,0,0,0,0,12.48,0,0,0,0
 14-21,0,0,0,0,0,6.42,0,0,0.88,1
 24-34,0,0,0.74,2.32,0,9.2,1.04,0,0,3.56
 36-46,0,0,1.64,0,0,9.1,0,0,0,0
 48-58,0,0,0,0.83,0,16.93,0,0.47,0,4.25
 60-70,0,0.67,0.86,1.5,4.13,2.21,0,0,0,4.13
 72-82,0,0,1.04,0.64,0,4.99,0,0,0,0
 84-94,0,0,0,0,0,2.53,0,0,0,0
 96-106,0,0,0,0,0.93,0,0,0,0,0
108-118,0,0,0,0,0,5.36,0,0,0,0
