stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,20.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,380.66,51.12,0,3.91,0,0,0,174.68,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,919.57,532.69,0,0,152.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,71.99,0,69.48,0,0,0,333.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2769.28,837.5,0,0,456.06,4.05,0,0,29.51,0,12.23,9.81,0,0,0,0,0
 14-21,0,0,10.21,7.15,73.41,6.51,0,229.47,0,0,84.83,2.36,1.89,1.66,0,0,0,0,0,0,4.51,0,0,60.49,1178.79,1540.95,6.55,3.57,17.81,0,0,18.84,242.87,113.02,701.53,767.36,0,0,27.2,0,0
 24-34,0,0,6.39,0,23.58,0,0,112.21,0,0,118.59,0,0,1.8,0,4.74,0,4.13,0,0,4.76,0,0,11.41,1561.96,383.64,9.82,19.28,1,6.3,0,0,149.57,8.41,63.53,673.36,0,0,53.15,0,0
 36-46,0,0,1.51,0,6.67,8.68,0,165.06,0,1.45,130.79,0,0,7.76,0,0,0,1.29,0,1.82,6.64,0.56,0,6.97,1316.12,172.1,4.26,11.97,0,0,0,0,108.71,0,0,588.35,0,0,21.33,0,0
 48-58,0.39,0,0.9,0,5.38,0,0,270.49,0,0,142.22,0,0,0.47,0,0,0,0.9,0,0,0.58,0,0,0,876.05,111.98,2.78,9.41,0,0.67,0,0,38.49,0,0,402.24,0,0,12.23,0,5.88
 60-70,0,0,0,0,12.44,0,0,219.35,0,1.04,115.12,0,0,0,4.72,0,2.33,0.73,0,0,3.71,0,0,0,491.87,43.57,1.73,24.33,0,0,0,0,32.78,0,0,157.96,0.81,0,10.3,0,0
 72-82,0,0,0.54,0.56,9.46,0,0,167.37,1.93,0,128.66,0.51,0,1.81,0.49,0,0,5.39,0,0,11.96,0,0.91,2.65,433.16,20.98,7.1,25.66,0,1.41,1.65,0,27.87,0,0,115.37,5.62,0,14.95,1.08,0
 84-94,0.62,0,6.15,0,12.83,0,1.09,120.64,0,0,75.15,0,0,1.04,0,0,0.61,6.59,0,0,7.12,0,0.65,2.56,253.83,42.17,3.57,25.57,0,0,0,0,54.85,0,0,53.83,5.55,7.43,17.58,0,0
 96-106,0,0,0.81,2.06,6.7,0,0,118.44,0,0,58.43,2.8,0,2.51,0,0,0,8.03,1.03,0,10.92,0,0.56,0,244.22,18.12,16.07,12.56,0,0.97,7.5,0,35.29,0,0,33.6,0,0,12.25,0,0
108-118,0,0,0.57,0.44,9.51,0,1.06,163.34,0,0,69.94,2.12,0,0,0,1.02,1.65,1.07,1.74,0,13.47,0,0,3.64,325.52,22.19,6.95,30.04,0,3.11,0,0,46.51,0,0,17.02,0.72,0,16.88,0,0
120,2.37,0,0,0,4.87,0,1.61,82.68,0,0,52.21,0,0,0,0,3.46,0,3.5,0,0,11.78,0,2.13,3.08,239.57,21.8,18.06,3.7,0,0,0,0,31.6,0,0,18.56,2.39,7.67,8.92,0,0
